date;precipitation;solar;humidity;temperature;area
31/1/2018;283.97;14.27916667;7.608736559;13.64854839;bangladesh
28/2/2018;116.31;16.14181548;9.227738095;17.033125;bangladesh
31/3/2018;404.89;18.22077957;11.06327957;20.58274194;bangladesh
30/4/2018;2156.81;18.75905556;14.20933333;22.57433333;bangladesh
31/5/2018;3773.46;17.76591398;16.78166667;23.73602151;bangladesh
30/6/2018;8385.8;15.09797222;18.82597222;24.86372222;bangladesh
31/7/2018;8232.13;14.82776882;19.23887097;24.84849462;bangladesh
31/8/2018;4517.94;16.0144086;19.03849462;24.63978495;bangladesh
30/9/2018;3667.3;16.111;18.148;24.17061111;bangladesh
31/10/2018;2579.37;15.55744624;14.21024194;21.45736559;bangladesh
30/11/2018;145.95;15.24316667;11.14313889;18.63477778;bangladesh
31/12/2018;247.67;13.39123656;8.577849462;15.22892473;bangladesh
31/01/2019;16.95;15.24645161;7.167069892;14.72758065;bangladesh
28/02/2019;632.31;15.94348214;8.375505952;16.94276786;bangladesh
31/03/2019;583.43;18.53731183;10.40497312;19.72104839;bangladesh
30/04/2019;1177.74;19.73858333;13.97236111;23.40605556;bangladesh
31/05/2019;3266.92;18.94094086;16.75983871;24.80067204;bangladesh
30/06/2019;4702.67;16.82280556;18.849;25.44813889;bangladesh
31/07/2019;11341.47;14.21981183;19.14892473;24.7786828;bangladesh
31/08/2019;5627.82;16.51741935;19.09766129;24.91150538;bangladesh
30/09/2019;6129.17;14.45769444;18.14813889;23.91608333;bangladesh
31/10/2019;3336.5;15.50290323;15.64803763;22.08;bangladesh
30/11/2019;1336.54;14.67086111;12.87391667;19.55788889;bangladesh
31/12/2019;98.76;13.13594086;9.035806452;14.71244624;bangladesh
31/01/2020;505.96;12.87252688;8.377392473;13.59352151;bangladesh
29/02/2020;137.76;15.71508621;8.208591954;15.45327586;bangladesh
31/03/2020;464.02;18.81954301;10.79129032;19.7269086;bangladesh
30/04/2020;2274.75;18.71188889;13.35427778;22.49116667;bangladesh
31/05/2020;5214.53;18.25586022;16.48739247;23.8916129;bangladesh
30/06/2020;6473.96;15.34416667;18.823;24.61286111;bangladesh
31/07/2020;6567.43;14.35384409;19.21701613;24.65822581;bangladesh
31/08/2020;5905.36;15.16604839;19.2275;24.73967742;bangladesh
30/09/2020;5040.35;14.39175;18.76305556;24.422;bangladesh
31/10/2020;3761.46;15.4055914;17.16674731;23.41634409;bangladesh
30/11/2020;641.72;15.50119444;12.22575;18.98630556;bangladesh
31/12/2020;16.19;13.74467742;9.196236559;15.29989247;bangladesh
31/01/2021;37.25;13.51107527;8.540994624;15.03370968;bangladesh
28/02/2021;34.39;16.82425595;8.186220238;16.91723214;bangladesh
31/03/2021;290.84;18.10575269;10.59153226;21.23139785;bangladesh
30/04/2021;738.75;20.72111111;12.52486111;23.51261111;bangladesh
31/05/2021;3095;17.86153226;16.40241935;24.51704301;bangladesh
30/06/2021;6861.89;14.66647222;18.67802778;24.58327778;bangladesh
31/07/2021;6257.97;14.62314516;19.06967742;24.7997043;bangladesh
31/08/2021;6148.03;14.26537634;18.98927419;24.45209677;bangladesh
30/09/2021;3472.78;15.72458333;18.04086111;24.00658333;bangladesh
31/10/2021;2546.73;15.26811828;16.5033871;22.88903226;bangladesh
30/11/2021;83.08;15.05575;12.15583333;18.78761111;bangladesh
31/12/2021;652.26;13.13739247;9.911586022;15.79336022;bangladesh
31/01/2022;292.7;12.99408602;8.470645161;14.10935484;bangladesh
28/02/2022;570.66;15.95205357;8.193392857;14.75761905;bangladesh
31/03/2022;250.74;19.3322043;10.88836022;21.18169355;bangladesh
30/04/2022;1693.36;18.27266667;14.82913889;23.80172222;bangladesh
31/05/2022;4086.65;16.89024194;16.95986559;24.37844086;bangladesh
30/06/2022;6633.76;14.03266667;18.34616667;24.50311111;bangladesh
31/07/2022;3277.49;17.43169355;18.71685484;24.98201613;bangladesh
31/08/2022;3994.68;16.17002688;18.77067204;24.83696237;bangladesh
30/09/2022;3787.61;14.98866667;18.242;24.09102778;bangladesh
31/10/2022;2944.3;16.10129032;15.74134409;22.24051075;bangladesh
30/11/2022;235;16.17086111;11.72122222;18.91291667;bangladesh
31/12/2022;86.63;13.20459677;9.582392473;16.21763441;bangladesh
31/01/2023;7.29;14.09704301;8.083387097;15.04169355;bangladesh
28/02/2023;80.5;15.96482143;8.484404762;17.53267857;bangladesh
31/03/2023;1025.01;16.5769086;10.78430108;20.42467742;bangladesh
30/04/2023;936.23;20.054;13.05133333;23.29630556;bangladesh
31/05/2023;2205.02;19.00954301;15.38508065;24.49110215;bangladesh
30/06/2023;5117.6;15.48966667;18.21472222;25.55152778;bangladesh
31/07/2023;4177.36;16.44091398;19.27908602;25.28123656;bangladesh
31/08/2023;7217.39;12.89736559;19.1577957;24.81836022;bangladesh
30/09/2023;4337.64;15.65258333;18.585;24.56058333;bangladesh
31/10/2023;2425.44;15.25680108;15.49526882;22.36115591;bangladesh
30/11/2023;975.47;14.96486111;12.28894444;19.42869444;bangladesh
31/12/2023;447.58;12.9241129;10.12758065;16.45717742;bangladesh
31/01/2024;123.77;12.9633871;7.836935484;13.67255376;bangladesh
29/02/2024;220.52;14.97152299;8.804741379;16.21632184;bangladesh
31/03/2024;857.14;17.35494624;10.6541129;20.02123656;bangladesh
30/04/2024;663.21;19.88325;13.43505556;24.42405556;bangladesh
31/05/2024;4254.41;18.25478495;16.62801075;24.94870968;bangladesh
30/06/2024;6106.69;14.85519444;19.30086111;25.46413889;bangladesh
31/07/2024;7290.84;14.88830645;19.70997312;25.25916667;bangladesh
31/08/2024;8610.45;13.73392473;18.94731183;24.50217742;bangladesh
30/09/2024;5443.05;15.67319444;18.85136111;24.75819444;bangladesh
31/10/2024;2551.07;13.85475806;16.71518817;22.94959677;bangladesh
30/11/2024;236.28;14.76616667;12.48602778;19.37725;bangladesh
31/12/2024;62.23;13.65526882;9.520080645;15.95271505;bangladesh
31/01/2025;47.74;13.81306452;8.497607527;15.40290323;bangladesh
28/02/2025;120.61;15.44005952;8.9675;17.30449405;bangladesh
31/03/2025;316.33;18.33024194;10.70653226;20.89790323;bangladesh
30/04/2025;1610.47;18.30808333;14.00236111;23.42086111;bangladesh
31/05/2025;5015.06;16.67379032;16.86567204;24.51637097;bangladesh
30/06/2025;5925.2;15.60711111;18.677;25.02930556;bangladesh
31/07/2025;7188.48;14.86341398;19.17145161;24.85064516;bangladesh
31/08/2025;4828.19;14.75534946;18.77548387;24.48672043;bangladesh
30/09/2025;3711.77;15.70397222;18.37758333;24.32697222;bangladesh
31/10/2025;2412.48;15.65123656;16.22024194;22.83623656;bangladesh
30/11/2025;392.17;15.04516667;12.04705556;18.88033333;bangladesh
31/12/2025;28.9;-18.64567204;9.059408602;15.35771505;bangladesh
