date;precipitation;solar;humidity;temperature;area
1/31/2018;0.195970431;172.9954432;35.7429779;22.27278794;Nigeria
2/28/2018;29.94769804;155.9917099;44.8067584;27.39034104;Nigeria
3/31/2018;23.81809676;188.072126;45.76378446;28.84881285;Nigeria
4/30/2018;29.4702466;175.09422;54.059112;29.80156633;Nigeria
5/31/2018;112.7767927;174.7991737;69.67963292;28.53551722;Nigeria
6/30/2018;222.5368364;158.7878347;75.82010178;27.01619105;Nigeria
7/31/2018;232.0168788;153.0726967;81.22045053;25.62999389;Nigeria
8/31/2018;235.3356829;146.1856786;85.24493819;24.81355738;Nigeria
9/30/2018;220.3216276;157.2202281;84.71884243;25.29259869;Nigeria
10/31/2018;98.6359062;176.7515638;77.60233767;26.21957219;Nigeria
11/30/2018;30.07218504;172.2971384;57.5808374;25.44491328;Nigeria
12/31/2018;0.329479452;167.3780701;46.3201475;23.4772587;Nigeria
1/31/2019;7.972056131;173.1453324;40.76527391;24.59422274;Nigeria
2/28/2019;6.712176857;153.8286217;39.79635675;26.04470918;Nigeria
3/31/2019;21.34270119;187.7925353;44.52172521;29.34449574;Nigeria
4/30/2019;20.9817397;180.0176399;49.75293639;30.58678269;Nigeria
5/31/2019;111.6048828;176.3674675;66.98259784;29.06806858;Nigeria
6/30/2019;150.3692022;159.5619352;72.80768832;27.7008917;Nigeria
7/31/2019;192.844117;151.1006454;79.64563929;26.01421898;Nigeria
8/31/2019;275.6804044;141.5883918;85.57912415;24.73561814;Nigeria
9/30/2019;231.1151833;153.730337;84.28307702;25.51402328;Nigeria
10/31/2019;221.0970801;152.8832067;82.95568635;25.23212364;Nigeria
11/30/2019;46.41266373;171.0921114;65.52216135;25.82180962;Nigeria
12/31/2019;6.491769205;180.4815589;48.07974096;22.7418147;Nigeria
1/31/2020;0.045856028;174.8351521;41.38419891;22.85120363;Nigeria
2/29/2020;0.265497296;167.478606;36.03892673;25.37169537;Nigeria
3/31/2020;83.41804742;184.9398417;47.99232321;28.79790055;Nigeria
4/30/2020;152.0754011;182.6258702;64.78859802;28.60832108;Nigeria
5/31/2020;140.6817599;182.0104387;72.28232541;28.13206033;Nigeria
6/30/2020;168.9848093;162.6530764;77.75255058;26.88965501;Nigeria
7/31/2020;310.8260387;149.5360877;83.65610783;25.16569285;Nigeria
8/31/2020;214.2829895;144.9710217;85.7527727;24.54065443;Nigeria
9/30/2020;265.0962894;142.6838231;85.58115806;24.83620197;Nigeria
10/31/2020;100.14613;175.9256558;76.72172224;25.27734969;Nigeria
11/30/2020;45.77104202;175.586937;64.13775731;24.37139443;Nigeria
12/31/2020;5.567655362;175.9134122;53.57070701;24.7226175;Nigeria
1/31/2021;6.144448658;182.6747784;42.85921222;24.56854437;Nigeria
2/28/2021;3.780246555;165.5946679;36.85814175;25.61103726;Nigeria
