date;precipitation;solar;humidity;temperature;area
1/31/2018;16.19003179;185.2133316;48.40829552;25.02886485;Uganda
2/28/2018;53.53994238;171.3088368;50.3404767;26.623125;Uganda
3/31/2018;156.2818963;159.2899403;70.36837032;23.67101591;Uganda
4/30/2018;256.3294905;146.9172491;78.90992476;22.39136678;Uganda
5/31/2018;155.7193909;167.00324;80.16065372;22.17813983;Uganda
6/30/2018;86.8841714;153.4003576;76.19010889;21.84481398;Uganda
7/31/2018;32.83117124;168.9183755;69.32049628;22.11863936;Uganda
8/31/2018;90.53800018;163.0435291;68.18542356;23.04699147;Uganda
9/30/2018;127.8039571;182.7190688;65.24788388;24.1588479;Uganda
10/31/2018;107.3199343;177.3535413;71.72577207;23.26091644;Uganda
11/30/2018;86.26067542;172.8822501;69.21535545;23.78859905;Uganda
12/31/2018;78.23611714;167.2529614;63.65977059;24.23865203;Uganda
1/31/2019;26.6098276;190.6779014;51.73036434;25.83588519;Uganda
2/28/2019;46.07281811;178.2218451;51.44529451;26.78439606;Uganda
3/31/2019;48.93671554;198.421449;52.62702734;26.9168596;Uganda
4/30/2019;128.990988;177.4634243;65.42047868;25.42388368;Uganda
5/31/2019;137.2945021;172.122319;74.90795271;23.54904172;Uganda
6/30/2019;166.9747302;135.8787058;77.99001767;22.27875993;Uganda
7/31/2019;117.9219234;152.4874781;74.72425747;22.24783439;Uganda
8/31/2019;144.8529;161.9454464;74.1887346;22.62445536;Uganda
9/30/2019;130.2143386;169.744126;72.98030518;23.24227098;Uganda
10/31/2019;284.9218188;162.1316774;79.73628975;22.26762499;Uganda
11/30/2019;125.3847674;158.8461891;78.69954223;22.47706793;Uganda
12/31/2019;135.1958128;161.5212323;76.33768428;22.51611589;Uganda
1/31/2020;67.9718012;173.3848956;65.9618361;23.75746567;Uganda
2/29/2020;73.54086739;173.8453038;63.51244499;24.9680889;Uganda
3/31/2020;220.6328925;170.2945437;74.17949424;23.96075555;Uganda
4/30/2020;188.5913061;165.3745953;77.02959926;23.36831613;Uganda
5/31/2020;173.2091802;172.2642161;81.85213789;22.38006544;Uganda
6/30/2020;124.0410712;153.0092709;79.83693658;21.60715229;Uganda
7/31/2020;123.4818938;138.2443008;78.81205776;20.99578417;Uganda
8/31/2020;123.1455645;161.3413239;76.56556914;22.15141779;Uganda
9/30/2020;198.541637;170.030089;75.11715509;22.7648401;Uganda
10/31/2020;198.2263058;164.5231616;78.7225462;22.39122795;Uganda
11/30/2020;145.575768;161.7957507;77.2851938;22.60722378;Uganda
12/31/2020;164.2826198;179.4063886;67.30379959;23.10697262;Uganda
1/31/2021;112.6338554;169.4759683;69.00863333;22.98642033;Uganda
2/28/2021;31.7376597;161.2580958;62.12920622;24.26750238;Uganda
3/31/2021;54.21311254;187.211022;59.92507146;25.333478;Uganda
4/30/2021;153.168443;168.3818003;73.6220421;23.54800217;Uganda
5/31/2021;148.1079465;166.6813532;77.51379814;22.80146093;Uganda
6/30/2021;39.31415482;161.6882856;69.90167475;22.92836408;Uganda
7/31/2021;37.9558519;147.9680835;67.79317913;22.51413826;Uganda
8/31/2021;42.42381257;172.8302923;64.08369108;23.91255195;Uganda
9/30/2021;111.1417731;165.563698;69.95439297;23.50051332;Uganda
10/31/2021;109.2048945;176.5171314;67.94789963;24.2959508;Uganda
11/30/2021;132.9615529;165.9610351;67.32420807;24.23774778;Uganda
12/31/2021;83.9024902;169.7940019;63.6428183;24.37229054;Uganda
1/31/2022;54.86519315;176.5703817;56.12422381;24.69931607;Uganda
2/28/2022;31.55611958;157.1413934;54.86052575;25.44583839;Uganda
3/31/2022;101.8980135;189.2097721;55.93264321;26.37745971;Uganda
4/30/2022;122.6844179;161.4279238;66.90258016;24.66797034;Uganda
5/31/2022;124.5351356;167.8792812;72.39236029;23.67701869;Uganda
6/30/2022;60.76566029;158.6032135;69.12627828;22.82723221;Uganda
7/31/2022;68.40068899;152.1730571;65.29442863;22.91993862;Uganda
8/31/2022;201.9384196;153.3995198;73.5675479;22.34530826;Uganda
9/30/2022;174.9807526;167.789953;73.79965752;22.89424923;Uganda
10/31/2022;130.2724976;174.713296;71.65664478;23.3575631;Uganda
11/30/2022;122.9148895;143.488487;72.75299623;23.13598397;Uganda
12/31/2022;83.58511655;158.923745;65.62891387;23.73828593;Uganda
1/31/2023;18.54501138;188.4970016;52.22050627;25.02568576;Uganda
2/28/2023;39.59712449;175.1024422;46.67873984;26.71655815;Uganda
3/31/2023;223.151765;158.7870683;67.40903004;24.32850401;Uganda
4/30/2023;190.1055689;162.5018459;75.47111747;23.40720136;Uganda
5/31/2023;99.48610339;178.2367883;75.28394463;23.58495118;Uganda
6/30/2023;111.4295568;147.5347391;73.7275478;23.24198207;Uganda
7/31/2023;66.6637398;165.8607285;69.10413371;23.0839964;Uganda
8/31/2023;54.89946604;172.0905916;63.58478975;24.47249866;Uganda
9/30/2023;195.5636569;166.4079347;70.05972934;24.17888766;Uganda
10/31/2023;166.7215872;173.3242214;73.74663402;23.91093218;Uganda
