entity;date;series;is_aggregate_series;generation_twh;IPI_Value;CPI_Value;GDP_VND_Trillion;Oil_Price;FDI_Disbursed_Monthly(bilionUSD);FDI_Registered_Monthly(bilionUSD);gas_price;castlecoal_price;castlecoal_vol
Viet Nam;1/1/2019;Coal;FALSE;9.63;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;1/1/2019;Gas;FALSE;4.12;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;1/1/2019;Hydro;FALSE;3.39;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;1/1/2019;Other fossil;FALSE;0;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;1/1/2019;Solar;FALSE;0;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;1/1/2019;Total generation;TRUE;17.87;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;1/1/2019;Wind;FALSE;0.73;134.05;100.1;7700;59.27;1.55;1.907;65.28;99;1.14K
Viet Nam;2/1/2019;Coal;FALSE;9.9;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;2/1/2019;Gas;FALSE;3.64;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;2/1/2019;Hydro;FALSE;5.33;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;2/1/2019;Other fossil;FALSE;0.02;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;2/1/2019;Solar;FALSE;0;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;2/1/2019;Total generation;TRUE;18.89;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;2/1/2019;Wind;FALSE;0;108.37;100.8;7700;64.13;1.03;6.564;51.16;96.05;0.88K
Viet Nam;3/1/2019;Coal;FALSE;8.43;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;3/1/2019;Gas;FALSE;3.49;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;3/1/2019;Hydro;FALSE;4.11;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;3/1/2019;Other fossil;FALSE;0;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;3/1/2019;Solar;FALSE;0.08;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;3/1/2019;Total generation;TRUE;16.11;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;3/1/2019;Wind;FALSE;0;134.77;99.79;7700;66.41;1.54;2.334;61.92;92.75;0.55K
Viet Nam;4/1/2019;Coal;FALSE;10.6;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;4/1/2019;Gas;FALSE;3.88;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;4/1/2019;Hydro;FALSE;5.44;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;4/1/2019;Other fossil;FALSE;0;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;4/1/2019;Solar;FALSE;0.08;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;4/1/2019;Total generation;TRUE;20;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;4/1/2019;Wind;FALSE;0;134.56;100.31;7700;71.2;1.58;3.786;55.59;87.3;0.68K
Viet Nam;5/1/2019;Coal;FALSE;11.18;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;5/1/2019;Gas;FALSE;3.84;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;5/1/2019;Hydro;FALSE;5.47;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;5/1/2019;Other fossil;FALSE;0.17;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;5/1/2019;Solar;FALSE;0.2;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;5/1/2019;Total generation;TRUE;20.86;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;5/1/2019;Wind;FALSE;0;138.69;100.49;7700;70.53;1.6;2.146;58.06;83.4;0.14K
Viet Nam;6/1/2019;Coal;FALSE;10.4;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;6/1/2019;Gas;FALSE;3.84;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;6/1/2019;Hydro;FALSE;6.12;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;6/1/2019;Other fossil;FALSE;0.58;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;6/1/2019;Solar;FALSE;0.52;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;6/1/2019;Total generation;TRUE;21.46;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;6/1/2019;Wind;FALSE;0;134.1;99.91;7700;63.3;1.8;1.732;47.97;70.9;0.43K
Viet Nam;7/1/2019;Coal;FALSE;10.47;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;7/1/2019;Gas;FALSE;3.65;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;7/1/2019;Hydro;FALSE;6.9;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;7/1/2019;Other fossil;FALSE;0;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;7/1/2019;Solar;FALSE;0.64;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;7/1/2019;Total generation;TRUE;21.66;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;7/1/2019;Wind;FALSE;0;141.57;100.18;7700;64;1.45;1.75;49.69;69.45;1.08K
Viet Nam;8/1/2019;Coal;FALSE;8.99;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;8/1/2019;Gas;FALSE;3.35;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;8/1/2019;Hydro;FALSE;7.97;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;8/1/2019;Other fossil;FALSE;0.01;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;8/1/2019;Solar;FALSE;0.65;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;8/1/2019;Total generation;TRUE;20.97;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;8/1/2019;Wind;FALSE;0;149.27;100.28;7700;59.25;1.41;2.409;48.86;65.75;0.13K
Viet Nam;9/1/2019;Coal;FALSE;8.46;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;9/1/2019;Gas;FALSE;3.04;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;9/1/2019;Hydro;FALSE;7.25;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;9/1/2019;Other fossil;FALSE;0;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;9/1/2019;Solar;FALSE;0.61;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;9/1/2019;Total generation;TRUE;19.36;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;9/1/2019;Wind;FALSE;0;148.62;100.32;7700;62.33;2.26;3.536;51.18;70.05;0.78K
Viet Nam;10/1/2019;Coal;FALSE;9.5;152.9;100.59;7700;59.37;1.99;2.951;53.62;66.9;0.72K
Viet Nam;10/1/2019;Gas;FALSE;3.33;152.9;100.59;7700;59.37;1.99;2.951;53.62;66.9;0.72K
Viet Nam;10/1/2019;Hydro;FALSE;6.24;152.9;100.59;7700;59.37;1.99;2.951;53.62;66.9;0.72K
