entity,date,series,is_aggregate_series,generation_TWh,IPI_Value,CPI_Value,GDP_VND_Trillion,Oil_Price,FDI_Disbursed_Monthly(bilionUSD),FDI_Registered_Monthly(bilionUSD),gas_price,castlecoal_price,castlecoal_vol,humidity,precipitation,solar,temperature
Viet Nam,2019-01-01,Coal,False,9.63,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-01-01,Gas,False,4.12,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-01-01,Hydro,False,3.39,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-01-01,Other fossil,False,0.0,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-01-01,Solar,False,0.0,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-01-01,Total generation,True,17.87,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-01-01,Wind,False,0.73,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1.14K,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544
Viet Nam,2019-02-01,Coal,False,9.9,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-02-01,Gas,False,3.64,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-02-01,Hydro,False,5.33,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-02-01,Other fossil,False,0.02,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-02-01,Solar,False,0.0,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-02-01,Total generation,True,18.89,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-02-01,Wind,False,0.0,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,0.88K,78.1904761904762,30.7,466.3366666666666,24.68095238095238
Viet Nam,2019-03-01,Coal,False,8.43,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-03-01,Gas,False,3.49,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-03-01,Hydro,False,4.11,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-03-01,Other fossil,False,0.0,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-03-01,Solar,False,0.08,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-03-01,Total generation,True,16.11,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-03-01,Wind,False,0.0,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,0.55K,78.40860215053765,33.86666666666666,522.16,25.594623655913978
Viet Nam,2019-04-01,Coal,False,10.6,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-04-01,Gas,False,3.88,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-04-01,Hydro,False,5.44,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-04-01,Other fossil,False,0.0,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-04-01,Solar,False,0.08,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-04-01,Total generation,True,20.0,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-04-01,Wind,False,0.0,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,0.68K,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555
Viet Nam,2019-05-01,Coal,False,11.18,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-05-01,Gas,False,3.84,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-05-01,Hydro,False,5.47,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-05-01,Other fossil,False,0.17,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-05-01,Solar,False,0.2,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-05-01,Total generation,True,20.86,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-05-01,Wind,False,0.0,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,0.14K,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796
Viet Nam,2019-06-01,Coal,False,10.4,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-06-01,Gas,False,3.84,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-06-01,Hydro,False,6.12,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-06-01,Other fossil,False,0.58,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-06-01,Solar,False,0.52,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-06-01,Total generation,True,21.46,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-06-01,Wind,False,0.0,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,0.43K,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107
Viet Nam,2019-07-01,Coal,False,10.47,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-07-01,Gas,False,3.65,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-07-01,Hydro,False,6.9,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-07-01,Other fossil,False,0.0,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-07-01,Solar,False,0.64,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-07-01,Total generation,True,21.66,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-07-01,Wind,False,0.0,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1.08K,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108
Viet Nam,2019-08-01,Coal,False,8.99,149.27,100.28,7700.0,59.25,1.41,2.409,48.86,65.75,0.13K,82.94623655913979,363.8,547.3066666666666,28.346236559139783
Viet Nam,2019-08-01,Gas,False,3.35,149.27,100.28,7700.0,59.25,1.41,2.409,48.86,65.75,0.13K,82.94623655913979,363.8,547.3066666666666,28.346236559139783
