entity,date,series,generation_TWh,IPI_Value,CPI_Value,GDP_trillion,Oil_Price,FDI_disbursed,FDI_registered,gas_price,castlecoal_price,castlecoal_vol,humidity,precipitation,solar,temperature,total_generation_TWh,month,year,time_idx,gen_lag_1,gen_lag_2,gen_lag_3,gen_lag_12,roll_mean_6,roll_std_6,yoy_change,precip_roll6,coal_ratio
Viet Nam,2019-01-01,Coal,9.63,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1140.0,,,,,17.87,1,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Viet Nam,2019-02-01,Coal,9.9,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,880.0,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544,18.89,2,2019,1,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538891967605374
Viet Nam,2019-03-01,Coal,8.43,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,550.0,78.1904761904762,30.7,466.3366666666666,24.68095238095238,16.11,3,2019,2,9.9,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0.5240867906783064
Viet Nam,2019-04-01,Coal,10.6,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,680.0,78.40860215053765,33.86666666666666,522.16,25.594623655913978,20.0,4,2019,3,8.43,9.9,9.63,0.0,9.32,0.7824960063795857,0.0,57.31111111111111,0.5232774349300164
Viet Nam,2019-05-01,Coal,11.18,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,140.0,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555,20.86,5,2019,4,10.6,8.43,9.9,0.0,9.64,0.9043229511629127,0.0,70.24166666666667,0.5299999735000013
Viet Nam,2019-06-01,Coal,10.4,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,430.0,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796,21.46,6,2019,5,11.18,10.6,8.43,0.0,9.948,1.0429141863068117,0.0,95.12,0.5359539532140962
Viet Nam,2019-07-01,Coal,10.47,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1080.0,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107,21.66,7,2019,6,10.4,11.18,10.6,0.0,10.023333333333333,0.9508873049245458,0.0,102.78888888888889,0.4846225310054739
Viet Nam,2019-08-01,Coal,8.99,149.27,100.28,7700.0,59.25,1.41,2.409,48.86,65.75,130.0,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108,20.97,8,2019,7,10.47,10.4,11.18,0.0,10.163333333333332,0.9432002261803515,0.0,122.39999999999999,0.4833794790683527
Viet Nam,2019-09-01,Coal,8.46,148.62,100.32,7700.0,62.33,2.26,3.536,51.18,70.05,780.0,82.94623655913979,363.8,547.3066666666666,28.346236559139783,19.36,9,2019,8,8.99,10.47,10.4,0.0,10.011666666666667,1.0599512567409248,0.0,177.91666666666666,0.4287076571908604
Viet Nam,2019-10-01,Coal,9.5,152.9,100.59,7700.0,59.37,1.99,2.951,53.62,66.9,720.0,83.21111111111111,272.6333333333334,538.0666666666667,27.21,19.96,10,2019,9,8.46,8.99,10.47,0.0,10.016666666666667,1.0510312396245247,0.0,217.7111111111111,0.4369834485029211
