entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita,IPI_Value,CPI_Value,Year,GDP_VND_Trillion,Oil_Price,Oil_Change_Percent
Viet Nam,VNM,False,2019-01-01,Coal,False,9.63,53.89,99.1,9.63,53.89,99.1,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-01-01,Gas,False,4.12,23.06,42.4,4.12,23.06,42.4,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-01-01,Hydro,False,3.39,18.97,34.89,3.39,18.97,34.89,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-01-01,Other fossil,False,0.0,0.0,0.0,0.0,0.0,0.0,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-01-01,Solar,False,0.0,0.0,0.0,0.0,0.0,0.0,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-01-01,Total generation,True,17.87,100.0,183.9,17.87,100.0,183.9,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-01-01,Wind,False,0.73,4.09,7.51,0.73,4.09,7.51,134.05,100.1,2019,7700.0,60.84,12.62
Viet Nam,VNM,False,2019-02-01,Coal,False,9.9,52.41,101.88,19.53,53.13,200.98,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-02-01,Gas,False,3.64,19.27,37.46,7.76,21.11,79.86,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-02-01,Hydro,False,5.33,28.22,54.85,8.72,23.72,89.74,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-02-01,Other fossil,False,0.02,0.11,0.21,0.02,0.05,0.21,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-02-01,Solar,False,0.0,0.0,0.0,0.0,0.0,0.0,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-02-01,Total generation,True,18.89,100.0,194.39,36.76,100.0,378.29,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-02-01,Wind,False,0.0,0.0,0.0,0.73,1.99,7.51,108.37,100.8,2019,7700.0,66.31,8.99
Viet Nam,VNM,False,2019-03-01,Coal,False,8.43,52.33,86.75,27.96,52.88,287.73,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-03-01,Gas,False,3.49,21.66,35.92,11.25,21.28,115.77,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-03-01,Hydro,False,4.11,25.51,42.3,12.83,24.27,132.03,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-03-01,Other fossil,False,0.0,0.0,0.0,0.02,0.04,0.21,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-03-01,Solar,False,0.08,0.5,0.82,0.08,0.15,0.82,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-03-01,Total generation,True,16.11,100.0,165.79,52.87,100.0,544.08,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-03-01,Wind,False,0.0,0.0,0.0,0.73,1.38,7.51,134.77,99.79,2019,7700.0,67.58,1.92
Viet Nam,VNM,False,2019-04-01,Coal,False,10.6,53.0,109.08,38.56,52.92,396.81,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-04-01,Gas,False,3.88,19.4,39.93,15.13,20.76,155.7,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-04-01,Hydro,False,5.44,27.2,55.98,18.27,25.07,188.01,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-04-01,Other fossil,False,0.0,0.0,0.0,0.02,0.03,0.21,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-04-01,Solar,False,0.08,0.4,0.82,0.16,0.22,1.65,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-04-01,Total generation,True,20.0,100.0,205.82,72.87,100.0,749.89,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-04-01,Wind,False,0.0,0.0,0.0,0.73,1.0,7.51,134.56,100.31,2019,7700.0,72.06,6.63
Viet Nam,VNM,False,2019-05-01,Coal,False,11.18,53.6,115.05,49.74,53.07,511.87,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-05-01,Gas,False,3.84,18.41,39.52,18.97,20.24,195.22,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-05-01,Hydro,False,5.47,26.22,56.29,23.74,25.33,244.3,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-05-01,Other fossil,False,0.17,0.81,1.75,0.19,0.2,1.96,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-05-01,Solar,False,0.2,0.96,2.06,0.36,0.38,3.7,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-05-01,Total generation,True,20.86,100.0,214.67,93.73,100.0,964.56,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-05-01,Wind,False,0.0,0.0,0.0,0.73,0.78,7.51,138.69,100.49,2019,7700.0,61.99,-13.97
Viet Nam,VNM,False,2019-06-01,Coal,False,10.4,48.46,107.02,60.14,52.21,618.89,134.1,99.91,2019,7700.0,64.74,4.44
