entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature,time_idx,month_num,month,month_sin,month_cos,target_lag_1,target_lag_3,target_lag_6,target_lag_12,target_roll_mean_3,target_roll_std_3,target_roll_mean_6,target_roll_std_6,target_roll_mean_12,target_roll_std_12,sample_weight
Argentina,ARG,2018-01-01,Bioenergy,0.02,10648.72,24.53710155,9.435314092,18.19319451,0,1,1,0.49999999999999994,0.8660254037844387,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,1.0099504938362078
Argentina,ARG,2018-02-01,Bioenergy,0.02,6886.61,22.31545503,9.437451665,18.33783582,1,2,2,0.8660254037844386,0.5000000000000001,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,1.0099504938362078
Argentina,ARG,2018-03-01,Bioenergy,0.02,8798.65,18.05176105,8.606007761,16.5003298,2,3,3,1.0,6.123233995736766e-17,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,1.0099504938362078
Argentina,ARG,2018-04-01,Bioenergy,0.02,8490.94,12.73342222,8.454025063,15.13318905,3,4,4,0.8660254037844387,-0.4999999999999998,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,1.0099504938362078
Argentina,ARG,2018-05-01,Bioenergy,0.03,8964.45,8.799103943,7.130630609,11.81986519,4,5,5,0.49999999999999994,-0.8660254037844387,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,1.014889156509222
Argentina,ARG,2018-06-01,Bioenergy,0.05,5063.74,7.259674074,5.613899749,8.386221393,5,6,6,1.2246467991473532e-16,-1.0,0.03,0.02,0.02,0.02,0.023333333333333334,0.005773502691896256,0.022,0.004472135954999579,0.022,0.004472135954999579,1.02469507659596
Argentina,ARG,2018-07-01,Bioenergy,0.05,5771.81,7.77934767,5.391642008,7.949400578,6,7,7,-0.4999999999999997,-0.8660254037844388,0.05,0.02,0.02,0.02,0.03333333333333333,0.015275252316519468,0.02666666666666667,0.012110601416389968,0.02666666666666667,0.012110601416389968,1.02469507659596
Argentina,ARG,2018-08-01,Bioenergy,0.05,6128.79,11.12195221,5.401615329,9.100758305,7,8,8,-0.8660254037844385,-0.5000000000000004,0.05,0.03,0.02,0.02,0.043333333333333335,0.011547005383792516,0.03166666666666667,0.01471960144387975,0.030000000000000002,0.014142135623730952,1.02469507659596
Argentina,ARG,2018-09-01,Bioenergy,0.04,9164.57,14.83363457,6.537045113,11.5886393,8,9,9,-1.0,-1.8369701987210297e-16,0.05,0.05,0.02,0.02,0.05,0.0,0.03666666666666667,0.015055453054181624,0.0325,0.0148804761828569,1.019803902718557
Argentina,ARG,2018-10-01,Bioenergy,0.04,9044.45,18.87402389,7.206286684,12.7768416,9,10,10,-0.8660254037844386,0.5000000000000001,0.04,0.05,0.02,0.02,0.04666666666666667,0.005773502691896256,0.04,0.012649110640673523,0.03333333333333333,0.014142135623730952,1.019803902718557
Argentina,ARG,2018-11-01,Bioenergy,0.04,11315.31,23.56134074,8.295639098,15.13297512,10,11,11,-0.5000000000000004,0.8660254037844384,0.04,0.05,0.03,0.02,0.043333333333333335,0.005773502691896255,0.043333333333333335,0.00816496580927727,0.034,0.013498971154211059,1.019803902718557
Argentina,ARG,2018-12-01,Bioenergy,0.03,8960.59,26.09601195,8.793570216,16.99362301,11,12,12,-2.4492935982947064e-16,1.0,0.04,0.04,0.05,0.02,0.04,0.0,0.045000000000000005,0.005477225575051675,0.034545454545454546,0.012933395813657267,1.014889156509222
Argentina,ARG,2019-01-01,Bioenergy,0.02,12067.92,24.58928315,9.614862964,17.86998796,12,1,1,0.49999999999999994,0.8660254037844387,0.03,0.04,0.05,0.02,0.03666666666666667,0.005773502691896255,0.041666666666666664,0.007527726527090819,0.03416666666666667,0.012401124093721457,1.0099504938362078
Argentina,ARG,2019-02-01,Bioenergy,0.03,7900.06,22.31780423,9.106157358,17.65156983,13,2,2,0.8660254037844386,0.5000000000000001,0.02,0.04,0.05,0.02,0.030000000000000002,0.01,0.036666666666666674,0.010327955589886448,0.034166666666666665,0.012401124093721457,1.014889156509222
