Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,19.96,0.2,1.01
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.27,0.58,21.56
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,16.69,-0.38,-2.23
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,2.53,0.03,1.2
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.12,0.27,31.76
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.27,0.58,21.56
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.15,0.31,16.85
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.03,0,0
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,14.16,-0.41,-2.81
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,2.53,0.06,2.43
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.09,0.27,32.93
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,-0.03,-100
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,1,0.17,20.48
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.15,0.14,13.86
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,19.96,0.2,1.01
Australia,AUS,01/01/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,17.73,-0.32,-1.77
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,2.91,0.27,10.23
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,14.82,-0.59,-3.83
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,2.11,-0.36,-14.57
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,0.97,0.03,3.19
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,2.91,0.27,10.23
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,1.94,0.24,14.12
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.03,0,0
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,12.71,-0.23,-1.78
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,2.1,-0.33,-13.58
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,0.94,0.03,3.3
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0.01,-0.03,-75
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,0.84,0.09,12
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.1,0.15,15.79
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,17.73,-0.32,-1.77
Australia,AUS,01/02/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,18.61,-0.32,-1.69
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.25,0.85,35.42
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,15.36,-1.17,-7.08
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,2.17,-0.47,-17.8
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.12,0.41,57.75
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.25,0.85,35.42
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.13,0.44,26.04
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.01,-0.01,-50
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,13.19,-0.7,-5.04
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,2.17,-0.46,-17.49
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.11,0.42,60.87
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,-0.01,-100
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,0.84,0.16,23.53
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.29,0.28,27.72
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,18.61,-0.32,-1.69
Australia,AUS,01/03/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,17.39,0.83,5.01
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.12,1.07,52.2
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,14.27,-0.24,-1.65
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,1.95,-0.58,-22.92
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.42,0.75,111.94
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.12,1.07,52.2
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,1.7,0.32,23.19
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.02,0.01,100
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,12.32,0.34,2.84
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.95,-0.58,-22.92
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.4,0.74,112.12
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,0.73,0.13,21.67
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,0.97,0.19,24.36
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,17.39,0.83,5.01
Australia,AUS,01/04/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,18.53,0.23,1.26
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.52,0.75,27.08
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,15.01,-0.52,-3.35
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,1.94,-0.5,-20.49
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.52,0.16,11.76
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.52,0.75,27.08
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2,0.59,41.84
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.01,-0.01,-50
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,13.07,-0.02,-0.15
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.94,-0.5,-20.49
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.51,0.17,12.69
