entity,entity code,date,series,generation_TWh
Australia,AUS,2018-01-01,Demand,19.96
Australia,AUS,2018-01-01,Clean,3.27
Australia,AUS,2018-01-01,Fossil,16.69
Australia,AUS,2018-01-01,Gas and Other Fossil,2.53
Australia,AUS,2018-01-01,"Hydro, Bioenergy and Other Renewables",1.12
Australia,AUS,2018-01-01,Renewables,3.27
Australia,AUS,2018-01-01,Wind and Solar,2.15
Australia,AUS,2018-01-01,Bioenergy,0.03
Australia,AUS,2018-01-01,Coal,14.16
Australia,AUS,2018-01-01,Gas,2.53
Australia,AUS,2018-01-01,Hydro,1.09
Australia,AUS,2018-01-01,Other Fossil,0.0
Australia,AUS,2018-01-01,Solar,1.0
Australia,AUS,2018-01-01,Wind,1.15
Australia,AUS,2018-01-01,Total Generation,19.96
Australia,AUS,2018-01-01,Net Imports,0.0
Australia,AUS,2018-02-01,Demand,17.73
Australia,AUS,2018-02-01,Clean,2.91
Australia,AUS,2018-02-01,Fossil,14.82
Australia,AUS,2018-02-01,Gas and Other Fossil,2.11
Australia,AUS,2018-02-01,"Hydro, Bioenergy and Other Renewables",0.97
Australia,AUS,2018-02-01,Renewables,2.91
Australia,AUS,2018-02-01,Wind and Solar,1.94
Australia,AUS,2018-02-01,Bioenergy,0.03
Australia,AUS,2018-02-01,Coal,12.71
Australia,AUS,2018-02-01,Gas,2.1
Australia,AUS,2018-02-01,Hydro,0.94
Australia,AUS,2018-02-01,Other Fossil,0.01
Australia,AUS,2018-02-01,Solar,0.84
Australia,AUS,2018-02-01,Wind,1.1
Australia,AUS,2018-02-01,Total Generation,17.73
Australia,AUS,2018-02-01,Net Imports,0.0
Australia,AUS,2018-03-01,Demand,18.61
Australia,AUS,2018-03-01,Clean,3.25
Australia,AUS,2018-03-01,Fossil,15.36
Australia,AUS,2018-03-01,Gas and Other Fossil,2.17
Australia,AUS,2018-03-01,"Hydro, Bioenergy and Other Renewables",1.12
Australia,AUS,2018-03-01,Renewables,3.25
Australia,AUS,2018-03-01,Wind and Solar,2.13
Australia,AUS,2018-03-01,Bioenergy,0.01
Australia,AUS,2018-03-01,Coal,13.19
Australia,AUS,2018-03-01,Gas,2.17
Australia,AUS,2018-03-01,Hydro,1.11
Australia,AUS,2018-03-01,Other Fossil,0.0
Australia,AUS,2018-03-01,Solar,0.84
Australia,AUS,2018-03-01,Wind,1.29
Australia,AUS,2018-03-01,Total Generation,18.61
Australia,AUS,2018-03-01,Net Imports,0.0
Australia,AUS,2018-04-01,Demand,17.39
Australia,AUS,2018-04-01,Clean,3.12
Australia,AUS,2018-04-01,Fossil,14.27
Australia,AUS,2018-04-01,Gas and Other Fossil,1.95
Australia,AUS,2018-04-01,"Hydro, Bioenergy and Other Renewables",1.42
Australia,AUS,2018-04-01,Renewables,3.12
Australia,AUS,2018-04-01,Wind and Solar,1.7
Australia,AUS,2018-04-01,Bioenergy,0.02
Australia,AUS,2018-04-01,Coal,12.32
Australia,AUS,2018-04-01,Gas,1.95
Australia,AUS,2018-04-01,Hydro,1.4
Australia,AUS,2018-04-01,Other Fossil,0.0
Australia,AUS,2018-04-01,Solar,0.73
Australia,AUS,2018-04-01,Wind,0.97
Australia,AUS,2018-04-01,Total Generation,17.39
Australia,AUS,2018-04-01,Net Imports,0.0
Australia,AUS,2018-05-01,Demand,18.53
Australia,AUS,2018-05-01,Clean,3.52
Australia,AUS,2018-05-01,Fossil,15.01
Australia,AUS,2018-05-01,Gas and Other Fossil,1.94
Australia,AUS,2018-05-01,"Hydro, Bioenergy and Other Renewables",1.52
Australia,AUS,2018-05-01,Renewables,3.52
Australia,AUS,2018-05-01,Wind and Solar,2.0
Australia,AUS,2018-05-01,Bioenergy,0.01
Australia,AUS,2018-05-01,Coal,13.07
Australia,AUS,2018-05-01,Gas,1.94
Australia,AUS,2018-05-01,Hydro,1.51
Australia,AUS,2018-05-01,Other Fossil,0.0
