entity,entity code,date,series,generation_TWh
Argentina,ARG,01/01/2018,Bioenergy,0.02
Argentina,ARG,01/01/2018,Coal,0.26
Argentina,ARG,01/01/2018,Gas,7.79
Argentina,ARG,01/01/2018,Hydro,3.69
Argentina,ARG,01/01/2018,Nuclear,0.64
Argentina,ARG,01/01/2018,Other Fossil,0.3
Argentina,ARG,01/01/2018,Solar,0.0
Argentina,ARG,01/01/2018,Wind,0.06
Argentina,ARG,01/01/2018,Total Generation,12.76
Argentina,ARG,01/02/2018,Bioenergy,0.02
Argentina,ARG,01/02/2018,Coal,0.24
Argentina,ARG,01/02/2018,Gas,7.35
Argentina,ARG,01/02/2018,Hydro,3.26
Argentina,ARG,01/02/2018,Nuclear,0.57
Argentina,ARG,01/02/2018,Other Fossil,0.27
Argentina,ARG,01/02/2018,Solar,0.0
Argentina,ARG,01/02/2018,Wind,0.05
Argentina,ARG,01/02/2018,Total Generation,11.76
Argentina,ARG,01/03/2018,Bioenergy,0.02
Argentina,ARG,01/03/2018,Coal,0.26
Argentina,ARG,01/03/2018,Gas,7.23
Argentina,ARG,01/03/2018,Hydro,3.32
Argentina,ARG,01/03/2018,Nuclear,0.51
Argentina,ARG,01/03/2018,Other Fossil,0.23
Argentina,ARG,01/03/2018,Solar,0.0
Argentina,ARG,01/03/2018,Wind,0.05
Argentina,ARG,01/03/2018,Total Generation,11.62
Argentina,ARG,01/04/2018,Bioenergy,0.02
Argentina,ARG,01/04/2018,Coal,0.17
Argentina,ARG,01/04/2018,Gas,6.63
Argentina,ARG,01/04/2018,Hydro,3.14
Argentina,ARG,01/04/2018,Nuclear,0.58
Argentina,ARG,01/04/2018,Other Fossil,0.26
Argentina,ARG,01/04/2018,Solar,0.0
Argentina,ARG,01/04/2018,Wind,0.06
Argentina,ARG,01/04/2018,Total Generation,10.86
Argentina,ARG,01/05/2018,Bioenergy,0.03
Argentina,ARG,01/05/2018,Coal,0.13
Argentina,ARG,01/05/2018,Gas,6.85
Argentina,ARG,01/05/2018,Hydro,3.01
Argentina,ARG,01/05/2018,Nuclear,0.75
Argentina,ARG,01/05/2018,Other Fossil,0.16
Argentina,ARG,01/05/2018,Solar,0.0
Argentina,ARG,01/05/2018,Wind,0.06
Argentina,ARG,01/05/2018,Total Generation,10.99
Argentina,ARG,01/06/2018,Bioenergy,0.05
Argentina,ARG,01/06/2018,Coal,0.3
Argentina,ARG,01/06/2018,Gas,7.55
Argentina,ARG,01/06/2018,Hydro,3.32
Argentina,ARG,01/06/2018,Nuclear,0.74
