entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature
Argentina,ARG,01/01/2018,Bioenergy,0.02,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Coal,0.26,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Gas,7.79,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Hydro,3.69,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Nuclear,0.64,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Other Fossil,0.3,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Solar,0,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Wind,0.06,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/01/2018,Total Generation,12.76,10648.72,24.53710155,9.435314092,18.19319451
Argentina,ARG,01/02/2018,Bioenergy,0.02,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Coal,0.24,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Gas,7.35,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Hydro,3.26,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Nuclear,0.57,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Other Fossil,0.27,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Solar,0,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Wind,0.05,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/02/2018,Total Generation,11.76,6886.61,22.31545503,9.437451665,18.33783582
Argentina,ARG,01/03/2018,Bioenergy,0.02,8798.65,18.05176105,8.606007761,16.5003298
Argentina,ARG,01/03/2018,Coal,0.26,8798.65,18.05176105,8.606007761,16.5003298
Argentina,ARG,01/03/2018,Gas,7.23,8798.65,18.05176105,8.606007761,16.5003298
Argentina,ARG,01/03/2018,Hydro,3.32,8798.65,18.05176105,8.606007761,16.5003298
