entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"Viet Nam","VNM",false,"2019-01","Coal",false,9.63,53.89,99.1,,,,,9.63,53.89,99.1
"Viet Nam","VNM",false,"2019-01","Gas",false,4.12,23.06,42.4,,,,,4.12,23.06,42.4
"Viet Nam","VNM",false,"2019-01","Hydro",false,3.39,18.97,34.89,,,,,3.39,18.97,34.89
"Viet Nam","VNM",false,"2019-01","Other fossil",false,0,0,0,,,,,0,0,0
"Viet Nam","VNM",false,"2019-01","Solar",false,0,0,0,,,,,0,0,0
"Viet Nam","VNM",false,"2019-01","Total generation",true,17.87,100,183.9,,,,,17.87,100,183.9
"Viet Nam","VNM",false,"2019-01","Wind",false,0.73,4.09,7.51,,,,,0.73,4.09,7.51
"Viet Nam","VNM",false,"2019-02","Coal",false,9.9,52.41,101.88,,,,,19.53,53.13,200.98
"Viet Nam","VNM",false,"2019-02","Gas",false,3.64,19.27,37.46,,,,,7.76,21.11,79.86
"Viet Nam","VNM",false,"2019-02","Hydro",false,5.33,28.22,54.85,,,,,8.72,23.72,89.74
"Viet Nam","VNM",false,"2019-02","Other fossil",false,0.02,0.11,0.21,,,,,0.02,0.05,0.21
"Viet Nam","VNM",false,"2019-02","Solar",false,0,0,0,,,,,0,0,0
"Viet Nam","VNM",false,"2019-02","Total generation",true,18.89,100,194.39,,,,,36.76,100,378.29
"Viet Nam","VNM",false,"2019-02","Wind",false,0,0,0,,,,,0.73,1.99,7.51
"Viet Nam","VNM",false,"2019-03","Coal",false,8.43,52.33,86.75,,,,,27.96,52.88,287.73
"Viet Nam","VNM",false,"2019-03","Gas",false,3.49,21.66,35.92,,,,,11.25,21.28,115.77
"Viet Nam","VNM",false,"2019-03","Hydro",false,4.11,25.51,42.3,,,,,12.83,24.27,132.03
"Viet Nam","VNM",false,"2019-03","Other fossil",false,0,0,0,,,,,0.02,0.04,0.21
"Viet Nam","VNM",false,"2019-03","Solar",false,0.08,0.5,0.82,,,,,0.08,0.15,0.82
"Viet Nam","VNM",false,"2019-03","Total generation",true,16.11,100,165.79,,,,,52.87,100,544.08
"Viet Nam","VNM",false,"2019-03","Wind",false,0,0,0,,,,,0.73,1.38,7.51
"Viet Nam","VNM",false,"2019-04","Coal",false,10.6,53,109.08,,,,,38.56,52.92,396.81
"Viet Nam","VNM",false,"2019-04","Gas",false,3.88,19.4,39.93,,,,,15.13,20.76,155.7
"Viet Nam","VNM",false,"2019-04","Hydro",false,5.44,27.2,55.98,,,,,18.27,25.07,188.01
"Viet Nam","VNM",false,"2019-04","Other fossil",false,0,0,0,,,,,0.02,0.03,0.21
"Viet Nam","VNM",false,"2019-04","Solar",false,0.08,0.4,0.82,,,,,0.16,0.22,1.65
"Viet Nam","VNM",false,"2019-04","Total generation",true,20,100,205.82,,,,,72.87,100,749.89
"Viet Nam","VNM",false,"2019-04","Wind",false,0,0,0,,,,,0.73,1,7.51
"Viet Nam","VNM",false,"2019-05","Coal",false,11.18,53.6,115.05,,,,,49.74,53.07,511.87
"Viet Nam","VNM",false,"2019-05","Gas",false,3.84,18.41,39.52,,,,,18.97,20.24,195.22
"Viet Nam","VNM",false,"2019-05","Hydro",false,5.47,26.22,56.29,,,,,23.74,25.33,244.3
"Viet Nam","VNM",false,"2019-05","Other fossil",false,0.17,0.81,1.75,,,,,0.19,0.2,1.96
"Viet Nam","VNM",false,"2019-05","Solar",false,0.2,0.96,2.06,,,,,0.36,0.38,3.7
"Viet Nam","VNM",false,"2019-05","Total generation",true,20.86,100,214.67,,,,,93.73,100,964.56
"Viet Nam","VNM",false,"2019-05","Wind",false,0,0,0,,,,,0.73,0.78,7.51
"Viet Nam","VNM",false,"2019-06","Coal",false,10.4,48.46,107.02,,,,,60.14,52.21,618.89
"Viet Nam","VNM",false,"2019-06","Gas",false,3.84,17.89,39.52,,,,,22.81,19.8,234.73
"Viet Nam","VNM",false,"2019-06","Hydro",false,6.12,28.52,62.98,,,,,29.86,25.92,307.28
"Viet Nam","VNM",false,"2019-06","Other fossil",false,0.58,2.7,5.97,,,,,0.77,0.67,7.92
"Viet Nam","VNM",false,"2019-06","Solar",false,0.52,2.42,5.35,,,,,0.88,0.76,9.06
"Viet Nam","VNM",false,"2019-06","Total generation",true,21.46,100,220.84,,,,,115.19,100,1185.4
"Viet Nam","VNM",false,"2019-06","Wind",false,0,0,0,,,,,0.73,0.63,7.51
"Viet Nam","VNM",false,"2019-07","Coal",false,10.47,48.34,107.75,,,,,70.61,51.6,726.64
"Viet Nam","VNM",false,"2019-07","Gas",false,3.65,16.85,37.56,,,,,26.46,19.34,272.3
"Viet Nam","VNM",false,"2019-07","Hydro",false,6.9,31.86,71.01,,,,,36.76,26.86,378.29
"Viet Nam","VNM",false,"2019-07","Other fossil",false,0,0,0,,,,,0.77,0.56,7.92
"Viet Nam","VNM",false,"2019-07","Solar",false,0.64,2.95,6.59,,,,,1.52,1.11,15.64
"Viet Nam","VNM",false,"2019-07","Total generation",true,21.66,100,222.9,,,,,136.85,100,1408.3
"Viet Nam","VNM",false,"2019-07","Wind",false,0,0,0,,,,,0.73,0.53,7.51
"Viet Nam","VNM",false,"2019-08","Coal",false,8.99,42.87,92.51,,,,,79.6,50.44,819.15
"Viet Nam","VNM",false,"2019-08","Gas",false,3.35,15.98,34.47,,,,,29.81,18.89,306.77
"Viet Nam","VNM",false,"2019-08","Hydro",false,7.97,38.01,82.02,,,,,44.73,28.34,460.31
"Viet Nam","VNM",false,"2019-08","Other fossil",false,0.01,0.05,0.1,,,,,0.78,0.49,8.03
"Viet Nam","VNM",false,"2019-08","Solar",false,0.65,3.1,6.69,,,,,2.17,1.37,22.33
"Viet Nam","VNM",false,"2019-08","Total generation",true,20.97,100,215.8,,,,,157.82,100,1624.1
"Viet Nam","VNM",false,"2019-08","Wind",false,0,0,0,,,,,0.73,0.46,7.51
"Viet Nam","VNM",false,"2019-09","Coal",false,8.46,43.7,87.06,,,,,88.06,49.7,906.21
"Viet Nam","VNM",false,"2019-09","Gas",false,3.04,15.7,31.28,,,,,32.85,18.54,338.05
