Time;FDI giải ngân (lũy kế năm) (tỉ USD) (value - triệu USD);% yoy;FDI đăng kí (lũy kế năm) (tỉ USD) (value);% yoy.1;"FDI cấp mới & 
tăng vốn (lũy kế năm) (tỉ USD)(value)";% yoy.2;FDI mua cổ phần (lũy kế năm) (tỉ USD)(value);% yoy.3
Dec-25;27,620;9;38,420;0.5;17,320;-12.2;7,030;54.8
Nov-25;23,600;8.9;33,690;7.4;15,960;-8.2;6,110;50.7
Oct-25;21,300;8.8;31,520;15.6;14,070;-7.6;5,340;45.1
Sep-25;18,800;8.5;28,540;15.2;12,400;-8.6;4,840;35
Aug-25;15,400;8.8;26,140;27.3;11,030;-8.1;4,460;58.8
Jul-25;13,600;8.4;24,090;27.3;10,030;-11.1;4,070;61
Jun-25;11,720;8.1;21,520;32.6;9,290;-9.6;3,280;73.6
May-25;8,900;7.9;18,390;51.2;7,020;-13.2;2,860;82.9
Apr-25;6,740;7.3;13,820;39.9;5,590;-23.8;1,830;200
Mar-25;4,960;7.2;10,980;34.7;4,330;-31.5;1,490;83.7
Feb-25;2,950;5.4;6,900;35.5;2,190;-48.4;530;88.8
Jan-25;1,510;2;4,333;48.6;1,290;-43.6;323;70.4
Dec-24;25,350;9.4;38,230;-3;19,700;-7.6;4,540;-48.1
Nov-24;21,680;7.1;31,380;1;17,390;1.6;4,060;-39.7
Oct-24;19,580;8.8;27,260;1.9;15,230;-2.5;3,680;-29.9
Sep-24;17,300;8.9;24,780;11.6;13,550;11.3;3,590;-25.5
Aug-24;14,150;8;20,524;7;11,999;8.5;2,813;-40.9
Jul-24;12,550;8.4;18,004;10.9;10,764;11.6;2,272;-45.2
Jun-24;10,842;8.2;15,188;13.1;9,537;46.9;1,701;-57.7
May-24;8,250;7.8;11,075;2;7,936;50.8;1,056;-68.2
Apr-24;6,280;7.4;9,274;4.5;7,110;28.8;930;-70.1
Mar-24;4,630;7.1;6,175;13.4;4,774;57.9;466;-61.7
Feb-24;2,800;9.8;4,293;38.6;3,596;100;255;-68
Jan-24;1,480;9.6;2,363;40.2;2,011;66.9;116;-33.1
Dec-23;23,180;3.5;36,610;32.1;20,190;62.2;8,500;65.7
Nov-23;20,250;2.9;28,850;14.8;16,410;58.1;5,969;46.4
Oct-23;18,000;2.4;25,760;14.7;15,290;54;5,130;35.4
Sep-23;15,900;3.2;20,210;7.7;10,230;43.6;4,820;47
Aug-23;13,100;1.3;18,150;8.2;8,870;39.7;4,470;62.8
Jul-23;11,580;0.8;16,240;4.5;7,935;38.6;4,140;60.7
Jun-23;10,020;0.5;13,258;-5.5;6,490;-5.9;3,838;69.1
May-23;7,650;-0.8;10,860;-7.3;5,260;-5.9;3,320;67.7
Apr-23;5,850;-1.2;8,800;-18.5;4,100;-5.9;3,040;66.1
Mar-23;4,300;-2.7;5,450;-38.8;3,021;-5.9;1,219;50.4
Feb-23;2,550;-4.9;3,093;-38;1,761;179.1;797;3.5
Jan-23;1,350;-16.1;1,690;-19.5;1,204;210.4;180;-59.4
Dec-22;22,400;13.5;27,720;-11;22,564;-7;5,156;-25.2
Nov-22;19,680;15.1;25,100;-5.1;21,020;-4.8;4,080;-6.9
Oct-22;17,450;15.2;22,460;-5.4;18,670;-7.2;3,790;4.4
Sep-22;15,400;16;18,700;-15.6;15,562;-17.7;3,286;1.1
Aug-22;12,800;11;16,780;-12;13,862;-15;2,918;4
Jul-22;11,570;10;15,410;-8;12,963;-11.6;2,447;21
Jun-22;9,240;0;14,030;-8;11,760;-13.9;2,270;41
May-22;7,710;8;11,710;-16;9,730;-23.3;1,980;51
Apr-22;5,920;8;10,800;-12;8,990;-19.8;1,830;74
Mar-22;4,420;8;8,910;-12;7,280;-21.9;811;1
Feb-22;2,680;7;4,996;-9;4,225;-14;770;42
Jan-22;1,610;7;2,100;4;1,658;-7.7;443;101
Dec-21;19,740;-1;31,153;9;24,259;15;6,893;-8
Nov-21;17,100;-1;26,463;0;22,080;11;4,383;-33
Oct-21;15,150;-4;23,740;4;13,020;-25;3,630;-33
Sep-21;13,280;-3;22,150;4;12,500;-19;3,250;-43
Aug-21;11,580;2;19,122;-2;11,325;-22;2,812;-43
Jul-21;10,500;4;16,700;-11;10,129;-29;2,028;-56
Jun-21;9,240;7;15,271;-3;9,549;-21;1,606;-54
May-21;5;7;13,997;1;12,687;16;1,310;-56
Apr-21;5,500;7;12,250;-1;11,210;14;1,050;-58
Mar-21;4,100;6;10,131;18;9,325;41;805;-59
Feb-21;2,500;2;5,458;-16;4,915;-13;543;-34
Jan-21;1,510;-6;2,017;-62;1,796;-63;221;-59
Dec-20;19,980;-2;28,530;-25;21,061;-7;7,469;-52
Nov-20;17,200;-2;26,431;-17;19,892;-3;6,539;-42
Oct-20;15,800;-3;22,821;-22;17,370;-5;5,451;-50
Sep-20;13,760;-3;21,208;-19;15,476;-2;5,732;-45
Aug-20;11,350;-5;19,538;-14;14,609;11;4,929;-48
Jul-20;10,120;-4;18,817;-7;14,178;21;4,639;-46
Jun-20;8,650;-5;15,670;-15;12,160;18;3,510;-57
May-20;6,700;-8;13,886;-17;10,895;20;2,991;-61
Apr-20;5,150;-10;12,333;-15;9,854;32;2,479;-65
Mar-20;3,850;-7;8,552;-21;6,597;29;1,956;-66
Feb-20;2,450;-5;6,469;-24;5,642;71;827;-84
Jan-20;1,600;3;5,330;179;4,795;319;535;-30
Dec-19;20,380;7;38,019;7;22,548;-12;15,471;56
Nov-19;17,620;7;31,795;3;20,554;-11;11,242;47
Oct-19;16,210;7;29,115;4;18,302;-15;10,812;71
Sep-19;14,220;7;26,164;3;15,763;-20;10,401;82
Aug-19;11,960;6;22,628;-7;13,118;-31;9,510;80
Jul-19;10,550;7;20,219;-12;11,698;-36;8,521;78
Jun-19;9,100;9;18,469;-9;10,347;-36;8,121;98
May-19;7,300;8;16,737;69;9,087;27;7,650;178
Apr-19;5,700;12;14,591;81;7,456;29;7,136;215
Mar-19;4,120;6;10,805;86;5,120;31;5,686;201
Feb-19;2,580;52;8,471;153;3,300;58;5,171;313
Jan-19;1,550;48;1,907;52;1,145;27;762;114
