Date	Price	Open	High	Low	Vol.	Change %
12/1/2025	60.85	62.69	64.09	58.72	5.09M	-3.72%
11/1/2025	63.2	65.12	65.32	61.6	5.78M	-2.87%
10/1/2025	65.07	66.18	66.78	60.07	7.76M	-2.91%
9/1/2025	67.02	67.42	70.76	65.07	5.45M	-1.61%
8/1/2025	68.12	71.83	72	65.01	5.29M	-4.99%
7/1/2025	71.7	65.7	72.83	65.48	6.73M	6.05%
6/1/2025	67.61	63.2	81.4	63	8.87M	5.81%
5/1/2025	63.9	61.23	66.81	58.5	6.53M	1.24%
4/1/2025	63.12	74.67	75.47	58.4	8.78M	-15.55%
3/1/2025	74.74	73.04	74.81	68.33	5.81M	2.65%
2/1/2025	72.81	75.92	76.78	71.92	5.75M	-5.15%
1/1/2025	76.76	74.93	82.63	74.72	7.49M	2.84%
12/1/2024	74.64	72	74.89	70.85	4.94M	3.90%
11/1/2024	71.84	73.71	75.79	70.45	5.29M	-1.33%
10/1/2024	72.81	71.59	80.55	69.68	6.87M	1.45%
9/1/2024	71.77	76.95	77.63	68.68	6.12M	-6.71%
8/1/2024	76.93	80.87	81.46	74.62	6.59M	-4.84%
7/1/2024	80.84	84.11	87.05	77.95	6.80M	-4.89%
6/1/2024	85	80.92	86.18	76.66	6.40M	4.80%
5/1/2024	81.11	85.1	85.2	80.44	6.43M	-6.05%
4/1/2024	86.33	86.12	91.18	85.03	6.37M	-0.77%
3/1/2024	87	81.35	87.07	80.62	6.46M	6.21%
2/1/2024	81.91	80.33	83.13	76.41	5.62M	0.24%
1/1/2024	81.71	77.39	84.8	74.79	6.23M	6.06%
12/1/2023	77.04	80.67	81.72	72.29	4.66M	-4.72%
11/1/2023	80.86	84.78	87.12	76.71	5.82M	-4.89%
10/1/2023	85.02	90.48	92.32	82.2	6.35M	-7.79%
9/1/2023	92.2	86.22	95.35	86.15	7.50M	6.18%
8/1/2023	86.83	84.78	87.37	81.61	5.75M	1.64%
7/1/2023	85.43	75	85.58	74.4	5.07M	13.29%
6/1/2023	75.41	72.06	78.47	71.57	6.00M	3.87%
5/1/2023	72.6	79.69	79.82	71.2	5.01M	-9.62%
4/1/2023	80.33	85	86.9	77.36	4.77M	0.55%
3/1/2023	79.89	82.41	86.17	70.06	6.98M	-4.27%
2/1/2023	83.45	85.28	86.55	78.84	4.21M	-2.35%
1/1/2023	85.46	85.69	89	77.77	4.41M	-0.22%
12/1/2022	85.65	86.89	89.18	75.64	3.79M	-1.52%
11/1/2022	86.97	90.87	97.85	80.81	4.98M	-6.29%
10/1/2022	92.81	84.21	96.75	84.21	4.21M	9.01%
9/1/2022	85.14	93.88	95.54	82.44	5.09M	-10.98%
8/1/2022	95.64	101.34	103.48	90.95	4.31M	-8.01%
7/1/2022	103.97	106.03	110.72	91.22	4.22M	-4.64%
6/1/2022	109.03	113.14	121.74	104.35	4.64M	-5.68%
5/1/2022	115.6	104.53	120.8	100.14	4.23M	7.90%
4/1/2022	107.14	103.31	113.61	97.18	4.05M	2.32%
3/1/2022	104.71	95.48	134.91	94.61	7.05M	6.88%
2/1/2022	97.97	88.22	102.26	86.31	5.51M	9.76%
1/1/2022	89.26	77.75	90.27	76.6	4.77M	15.40%
12/1/2021	77.35	69.37	80.03	65.48	4.15M	11.73%
11/1/2021	69.23	82.44	84.26	67.45	5.86M	-17.31%
10/1/2021	83.72	77.67	85.77	76.78	4.91M	6.91%
9/1/2021	78.31	70.98	79.95	69.85	5.76M	9.33%
8/1/2021	71.63	74.45	74.52	64.2	4.13M	-5.01%
7/1/2021	75.41	73.83	76.8	66.91	4.47M	1.06%
6/1/2021	74.62	69.07	75.77	68.98	4.85M	8.22%
5/1/2021	68.95	66.24	69.9	64.5	4.24M	3.28%
4/1/2021	66.76	62.68	68.44	60.93	4.34M	6.41%
3/1/2021	62.74	64	70.67	60.33	7.08M	-2.61%
2/1/2021	64.42	54.7	66.82	54.4	4.59M	17.04%
1/1/2021	55.04	51.53	57.31	50.66	4.44M	6.21%
12/1/2020	51.82	47.95	52.46	46.81	3.58M	8.23%
11/1/2020	47.88	37.8	49	36.29	4.05M	26.20%
10/1/2020	37.94	42.65	43.99	37.26	4.19M	-10.31%
