Date;Country;Region;Export;Import
01/2019;A-rập Xê-út;Others;32,770.53;111,355.17
02/2019;A-rập Xê-út;Others;17,696.01;90,498.01
03/2019;A-rập Xê-út;Others;35,249.87;107,914.56
04/2019;A-rập Xê-út;Others;35,906.07;94,036.00
05/2019;A-rập Xê-út;Others;30,991.47;98,163.40
06/2019;A-rập Xê-út;Others;22,648.94;111,012.37
07/2019;A-rập Xê-út;Others;30,600.03;98,451.79
08/2019;A-rập Xê-út;Others;28,706.69;99,967.62
09/2019;A-rập Xê-út;Others;28,713.64;98,285.68
10/2019;A-rập Xê-út;Others;30,719.36;100,660.00
11/2019;A-rập Xê-út;Others;31,667.26;78,737.13
12/2019;A-rập Xê-út;Others;24,193.39;95,708.30
01/2020;A-rập Xê-út;Others;25,157.99;70,185.46
02/2020;A-rập Xê-út;Others;31,783.55;108,119.89
03/2020;A-rập Xê-út;Others;38,720.50;70,551.91
04/2020;A-rập Xê-út;Others;18,131.58;68,591.64
05/2020;A-rập Xê-út;Others;19,046.79;77,314.25
06/2020;A-rập Xê-út;Others;64,914.84;80,687.96
07/2020;A-rập Xê-út;Others;24,611.44;97,921.03
08/2020;A-rập Xê-út;Others;56,429.61;117,871.55
09/2020;A-rập Xê-út;Others;52,975.82;119,142.33
10/2020;A-rập Xê-út;Others;23,915.54;106,684.45
11/2020;A-rập Xê-út;Others;53,564.46;104,333.65
12/2020;A-rập Xê-út;Others;28,637.30;129,506.76
01/2021;A-rập Xê-út;Others;31,550.27;148,042.64
02/2021;A-rập Xê-út;Others;20,970.77;129,304.96
03/2021;A-rập Xê-út;Others;58,796.39;164,693.30
04/2021;A-rập Xê-út;Others;31,485.39;133,435.83
05/2021;A-rập Xê-út;Others;28,110.92;115,896.75
06/2021;A-rập Xê-út;Others;27,868.75;160,267.78
07/2021;A-rập Xê-út;Others;25,748.93;127,969.29
08/2021;A-rập Xê-út;Others;24,679.49;145,533.12
09/2021;A-rập Xê-út;Others;22,910.67;121,037.59
10/2021;A-rập Xê-út;Others;26,754.01;106,702.50
11/2021;A-rập Xê-út;Others;33,876.56;106,856.02
12/2021;A-rập Xê-út;Others;38,287.38;178,456.61
01/2022;A-rập Xê-út;Others;38,849.28;103,446.79
02/2022;A-rập Xê-út;Others;22,885.27;104,918.78
03/2022;A-rập Xê-út;Others;41,192.85;237,019.63
04/2022;A-rập Xê-út;Others;43,327.81;143,223.56
05/2022;A-rập Xê-út;Others;68,413.00;188,675.42
06/2022;A-rập Xê-út;Others;88,238.05;124,936.26
07/2022;A-rập Xê-út;Others;76,951.11;176,145.04
08/2022;A-rập Xê-út;Others;70,271.87;181,046.42
09/2022;A-rập Xê-út;Others;77,790.27;186,227.45
10/2022;A-rập Xê-út;Others;54,707.50;176,819.67
11/2022;A-rập Xê-út;Others;62,782.97;167,946.08
12/2022;A-rập Xê-út;Others;72,526.74;126,490.44
