date,value
2019-01-31,16.95
2019-02-28,632.3100000000001
2019-03-31,583.4300000000001
2019-04-30,1177.74
2019-05-31,3266.92
2019-06-30,4702.67
2019-07-31,11341.47
2019-08-31,5627.82
2019-09-30,6129.17
2019-10-31,3336.5
2019-11-30,1336.54
2019-12-31,98.76
2020-01-31,505.96
2020-02-29,137.76
2020-03-31,464.02
2020-04-30,2274.75
2020-05-31,5214.53
2020-06-30,6473.96
2020-07-31,6567.43
2020-08-31,5905.36
2020-09-30,5040.349999999999
2020-10-31,3761.46
2020-11-30,641.72
2020-12-31,16.19
2021-01-31,37.25
2021-02-28,34.39
2021-03-31,290.84000000000003
2021-04-30,738.75
2021-05-31,3095.0
2021-06-30,6861.89
2021-07-31,6257.97
2021-08-31,6148.03
2021-09-30,3472.7799999999997
2021-10-31,2546.73
2021-11-30,83.08
2021-12-31,652.26
2022-01-31,292.7
2022-02-28,570.66
2022-03-31,250.74
2022-04-30,1693.36
2022-05-31,4086.65
2022-06-30,6633.76
2022-07-31,3277.49
2022-08-31,3994.68
2022-09-30,3787.61
2022-10-31,2944.3
2022-11-30,235.0
2022-12-31,86.63000000000001
2023-01-31,7.29
2023-02-28,80.5
2023-03-31,1025.01
2023-04-30,936.23
2023-05-31,2205.02
2023-06-30,5117.599999999999
2023-07-31,4177.360000000001
2023-08-31,7217.39
2023-09-30,4337.64
2023-10-31,2425.44
2023-11-30,975.4699999999999
2023-12-31,447.58000000000004
2024-01-31,123.77
2024-02-29,220.51999999999998
2024-03-31,857.1400000000001
2024-04-30,663.21
2024-05-31,4254.41
2024-06-30,6106.69
2024-07-31,7290.84
2024-08-31,8610.45
2024-09-30,5443.05
2024-10-31,2551.07
2024-11-30,236.28
2024-12-31,62.230000000000004
2025-01-31,47.74
2025-02-28,120.61000000000001
2025-03-31,316.33
2025-04-30,1610.47
2025-05-31,5015.06
2025-06-30,5925.2
2025-07-31,7188.4800000000005
2025-08-31,4828.1900000000005
2025-09-30,3711.77
2025-10-31,2412.48
2025-11-30,392.17
2025-12-31,28.900000000000002
2026-01-31,4.079999999999999
2026-02-28,-47820.67
2026-03-31,-23976.0
