date,value
2019-01-31,6005.94
2019-02-28,4724.610000000001
2019-03-31,5786.69
2019-04-30,9819.939999999999
2019-05-31,14038.449999999999
2019-06-30,12089.14
2019-07-31,9920.91
2019-08-31,8253.01
2019-09-30,7806.12
2019-10-31,11017.16
2019-11-30,9790.97
2019-12-31,8467.25
2020-01-31,4182.24
2020-02-29,3891.7099999999996
2020-03-31,6398.62
2020-04-30,8684.189999999999
2020-05-31,10935.039999999999
2020-06-30,10709.91
2020-07-31,8971.86
2020-08-31,7574.6
2020-09-30,7439.5
2020-10-31,6171.32
2020-11-30,6827.759999999999
2020-12-31,5752.48
2021-01-31,9529.32
2021-02-28,5926.37
2021-03-31,8796.5
2021-04-30,9626.05
2021-05-31,8048.5599999999995
2021-06-30,8389.51
2021-07-31,5668.1900000000005
2021-08-31,6221.13
2021-09-30,5919.7
2021-10-31,8122.410000000001
2021-11-30,6920.13
2021-12-31,8206.439999999999
2022-01-31,4635.8099999999995
2022-02-28,6545.94
2022-03-31,10041.96
2022-04-30,13985.91
2022-05-31,12620.24
2022-06-30,10972.609999999999
2022-07-31,11828.009999999998
2022-08-31,8785.21
2022-09-30,8056.84
2022-10-31,10647.179999999998
2022-11-30,9730.1
2022-12-31,5939.28
2023-01-31,8715.77
2023-02-28,5826.72
2023-03-31,8707.179999999998
2023-04-30,9442.07
2023-05-31,10766.07
2023-06-30,7935.51
2023-07-31,9990.83
2023-08-31,6265.68
2023-09-30,5343.8099999999995
2023-10-31,8747.82
2023-11-30,9019.27
2023-12-31,8547.74
2024-01-31,4153.16
2024-02-29,5299.12
2024-03-31,5527.35
2024-04-30,9667.23
2024-05-31,14045.859999999999
2024-06-30,11915.859999999999
2024-07-31,8739.11
2024-08-31,5598.64
2024-09-30,5992.7
2024-10-31,7188.3
2024-11-30,7884.179999999999
2024-12-31,8021.94
2025-01-31,6044.419999999999
2025-02-28,7744.5199999999995
2025-03-31,8910.769999999999
2025-04-30,10813.949999999999
2025-05-31,12948.46
2025-06-30,16706.57
2025-07-31,9686.67
2025-08-31,9538.880000000001
2025-09-30,7655.14
2025-10-31,9083.09
2025-11-30,8902.31
2025-12-31,5407.12
2026-01-31,9316.16
2026-02-28,-215005.4
2026-03-31,-111888.0
