date,value
2019-01-31,302.71999999999997
2019-02-28,365.77
2019-03-31,247.74
2019-04-30,54.790000000000006
2019-05-31,10.190000000000001
2019-06-30,14.87
2019-07-31,0.6
2019-08-31,8.99
2019-09-30,0.8200000000000001
2019-10-31,155.01999999999998
2019-11-30,46.8
2019-12-31,720.66
2020-01-31,857.3000000000001
2020-02-29,712.3299999999999
2020-03-31,447.28000000000003
2020-04-30,228.52
2020-05-31,44.44
2020-06-30,9.95
2020-07-31,14.459999999999997
2020-08-31,11.200000000000001
2020-09-30,13.629999999999999
2020-10-31,71.79
2020-11-30,869.6700000000001
2020-12-31,203.09
2021-01-31,296.64
2021-02-28,501.35
2021-03-31,1048.04
2021-04-30,210.44000000000003
2021-05-31,20.759999999999998
2021-06-30,1.3399999999999999
2021-07-31,11.95
2021-08-31,19.069999999999997
2021-09-30,24.72
2021-10-31,42.75
2021-11-30,388.16
2021-12-31,815.38
2022-01-31,999.96
2022-02-28,287.2
2022-03-31,576.71
2022-04-30,14.45
2022-05-31,16.05
2022-06-30,4.6
2022-07-31,14.46
2022-08-31,58.849999999999994
2022-09-30,42.580000000000005
2022-10-31,85.38
2022-11-30,336.3
2022-12-31,318.4
2023-01-31,360.67
2023-02-28,584.13
2023-03-31,372.83
2023-04-30,225.07
2023-05-31,114.10000000000001
2023-06-30,20.79
2023-07-31,2.22
2023-08-31,11.78
2023-09-30,28.650000000000002
2023-10-31,170.9
2023-11-30,233.48
2023-12-31,356.81
2024-01-31,817.88
2024-02-29,298.35
2024-03-31,127.85000000000001
2024-04-30,48.17
2024-05-31,36.86
2024-06-30,7.75
2024-07-31,30.13
2024-08-31,129.82999999999998
2024-09-30,61.05
2024-10-31,32.13999999999999
2024-11-30,121.42
2024-12-31,207.42
2025-01-31,238.64
2025-02-28,123.53
2025-03-31,240.65
2025-04-30,42.97
2025-05-31,58.03
2025-06-30,11.629999999999999
2025-07-31,8.15
2025-08-31,17.74
2025-09-30,48.17999999999999
2025-10-31,7.04
2025-11-30,278.23
2025-12-31,472.74
2026-01-31,243.84
2026-02-28,-119820.06
2026-03-31,-59940.0
