date,value
2019-01-31,6454.98
2019-02-28,2771.09
2019-03-31,3120.58
2019-04-30,4273.719999999999
2019-05-31,5286.01
2019-06-30,9153.01
2019-07-31,6076.0599999999995
2019-08-31,5741.23
2019-09-30,4611.54
2019-10-31,7841.7
2019-11-30,8417.7
2019-12-31,9805.64
2020-01-31,5076.5
2020-02-29,3797.9500000000003
2020-03-31,4283.040000000001
2020-04-30,6181.92
2020-05-31,6677.94
2020-06-30,10725.1
2020-07-31,10021.31
2020-08-31,6474.38
2020-09-30,10173.76
2020-10-31,11864.77
2020-11-30,11933.119999999999
2020-12-31,10345.24
2021-01-31,11075.76
2021-02-28,3691.2400000000002
2021-03-31,6612.530000000001
2021-04-30,5134.45
2021-05-31,8269.42
2021-06-30,6046.42
2021-07-31,7572.61
2021-08-31,9312.699999999999
2021-09-30,9562.32
2021-10-31,9302.57
2021-11-30,11614.01
2021-12-31,10239.79
2022-01-31,6602.61
2022-02-28,8026.88
2022-03-31,6587.0
2022-04-30,7225.27
2022-05-31,8180.5
2022-06-30,7973.12
2022-07-31,9189.97
2022-08-31,8525.73
2022-09-30,9382.36
2022-10-31,12606.03
2022-11-30,10782.81
2022-12-31,13198.58
2023-01-31,10235.34
2023-02-28,5934.35
2023-03-31,5941.64
2023-04-30,4170.99
2023-05-31,6525.3
2023-06-30,7127.12
2023-07-31,9366.140000000001
2023-08-31,7009.08
2023-09-30,9377.92
2023-10-31,7099.530000000001
2023-11-30,12940.63
2023-12-31,11121.84
2024-01-31,8248.15
2024-02-29,4240.9
2024-03-31,4949.589999999999
2024-04-30,4419.78
2024-05-31,7482.23
2024-06-30,10233.380000000001
2024-07-31,8011.13
2024-08-31,9902.4
2024-09-30,8811.4
2024-10-31,8675.36
2024-11-30,11606.45
2024-12-31,11238.64
2025-01-31,12860.85
2025-02-28,5748.64
2025-03-31,7492.099999999999
2025-04-30,6820.5599999999995
2025-05-31,7514.780000000001
2025-06-30,7784.08
2025-07-31,5552.25
2025-08-31,9042.76
2025-09-30,9439.03
2025-10-31,10062.4
2025-11-30,13466.550000000001
2025-12-31,11810.22
2026-01-31,11388.57
2026-02-28,-152718.04
2026-03-31,-79920.0
