date,value
2019-01-31,1514.79
2019-02-28,2069.18
2019-03-31,1679.0600000000002
2019-04-30,2146.25
2019-05-31,1177.94
2019-06-30,1316.76
2019-07-31,4154.88
2019-08-31,4983.38
2019-09-30,3085.7
2019-10-31,1063.78
2019-11-30,1763.32
2019-12-31,685.8100000000001
2020-01-31,1979.63
2020-02-29,1466.04
2020-03-31,5012.5599999999995
2020-04-30,3024.0699999999997
2020-05-31,3497.65
2020-06-30,2689.38
2020-07-31,3581.26
2020-08-31,7655.43
2020-09-30,1609.13
2020-10-31,852.13
2020-11-30,2368.7000000000003
2020-12-31,1375.93
2021-01-31,598.97
2021-02-28,1047.4399999999998
2021-03-31,1242.19
2021-04-30,882.83
2021-05-31,2058.73
2021-06-30,1838.94
2021-07-31,4488.2
2021-08-31,2896.87
2021-09-30,5083.78
2021-10-31,1376.3700000000001
2021-11-30,269.6
2021-12-31,575.1899999999999
2022-01-31,3004.28
2022-02-28,742.04
2022-03-31,753.8
2022-04-30,331.64
2022-05-31,1264.42
2022-06-30,1787.97
2022-07-31,9782.36
2022-08-31,8575.75
2022-09-30,2625.96
2022-10-31,901.37
2022-11-30,1334.3700000000001
2022-12-31,499.38000000000005
2023-01-31,1727.5800000000002
2023-02-28,842.99
2023-03-31,3001.4799999999996
2023-04-30,1830.8899999999999
2023-05-31,1733.9799999999998
2023-06-30,3402.0299999999997
2023-07-31,6228.66
2023-08-31,2063.27
2023-09-30,2762.31
2023-10-31,1387.73
2023-11-30,783.36
2023-12-31,209.78
2024-01-31,1144.02
2024-02-29,2019.6000000000001
2024-03-31,2348.2599999999998
2024-04-30,2847.59
2024-05-31,1018.86
2024-06-30,1664.29
2024-07-31,5309.02
2024-08-31,7537.78
2024-09-30,2615.17
2024-10-31,873.2099999999999
2024-11-30,453.06
2024-12-31,436.28
2025-01-31,659.27
2025-02-28,1411.19
2025-03-31,1160.83
2025-04-30,610.63
2025-05-31,1209.52
2025-06-30,3079.5899999999997
2025-07-31,5761.29
2025-08-31,5092.67
2025-09-30,2975.6099999999997
2025-10-31,1177.7599999999998
2025-11-30,111.66
2025-12-31,1029.6
2026-01-31,1494.9
2026-02-28,-223221.39
2026-03-31,-111888.0
