date,value
2019-01-31,8717.04
2019-02-28,7614.6900000000005
2019-03-31,7411.250000000001
2019-04-30,7450.67
2019-05-31,6466.13
2019-06-30,5543.01
2019-07-31,4090.9600000000005
2019-08-31,2762.3
2019-09-30,3915.04
2019-10-31,6245.88
2019-11-30,8111.8
2019-12-31,9691.45
2020-01-31,5649.72
2020-02-29,6453.8099999999995
2020-03-31,7744.64
2020-04-30,6855.57
2020-05-31,6719.19
2020-06-30,7173.63
2020-07-31,4589.92
2020-08-31,2526.35
2020-09-30,3824.99
2020-10-31,4437.74
2020-11-30,4655.33
2020-12-31,7603.99
2021-01-31,10796.84
2021-02-28,7433.09
2021-03-31,9272.27
2021-04-30,7998.95
2021-05-31,5310.5
2021-06-30,5931.54
2021-07-31,3274.0
2021-08-31,3164.47
2021-09-30,4084.98
2021-10-31,5778.9800000000005
2021-11-30,7448.290000000001
2021-12-31,9244.16
2022-01-31,5692.5199999999995
2022-02-28,8519.18
2022-03-31,10558.09
2022-04-30,8800.48
2022-05-31,6496.86
2022-06-30,4703.719999999999
2022-07-31,4908.719999999999
2022-08-31,3545.9100000000003
2022-09-30,3537.8199999999997
2022-10-31,6160.27
2022-11-30,5726.610000000001
2022-12-31,6389.870000000001
2023-01-31,8286.69
2023-02-28,7201.01
2023-03-31,9344.83
2023-04-30,8893.72
2023-05-31,7460.41
2023-06-30,3717.4700000000003
2023-07-31,4281.12
2023-08-31,2852.4700000000003
2023-09-30,2776.36
2023-10-31,4211.21
2023-11-30,5680.19
2023-12-31,8252.86
2024-01-31,6133.15
2024-02-29,8402.33
2024-03-31,6042.7
2024-04-30,6372.2300000000005
2024-05-31,6435.18
2024-06-30,3962.7200000000003
2024-07-31,2744.25
2024-08-31,1916.46
2024-09-30,2053.23
2024-10-31,4312.400000000001
2024-11-30,6311.05
2024-12-31,7084.5
2025-01-31,6872.45
2025-02-28,10015.560000000001
2025-03-31,10216.95
2025-04-30,8086.599999999999
2025-05-31,7125.53
2025-06-30,8736.53
2025-07-31,2376.83
2025-08-31,2610.7799999999997
2025-09-30,3955.56
2025-10-31,4936.09
2025-11-30,6675.259999999999
2025-12-31,6373.969999999999
2026-01-31,10212.69
2026-02-28,-240300.46
2026-03-31,-125874.0
