date,value
2019-01-31,4569.99
2019-02-28,828.79
2019-03-31,2060.61
2019-04-30,2141.2599999999998
2019-05-31,5211.820000000001
2019-06-30,8447.3
2019-07-31,10313.63
2019-08-31,12170.73
2019-09-30,8801.5
2019-10-31,4993.58
2019-11-30,8906.74
2019-12-31,6988.82
2020-01-31,3126.97
2020-02-29,2709.36
2020-03-31,2655.4500000000003
2020-04-30,2723.09
2020-05-31,6144.64
2020-06-30,11041.11
2020-07-31,8485.5
2020-08-31,11422.49
2020-09-30,7084.44
2020-10-31,16138.12
2020-11-30,11595.33
2020-12-31,14198.050000000001
2021-01-31,9278.76
2021-02-28,5677.32
2021-03-31,4323.47
2021-04-30,4335.31
2021-05-31,5528.22
2021-06-30,7352.56
2021-07-31,11838.09
2021-08-31,7951.03
2021-09-30,8840.85
2021-10-31,11446.52
2021-11-30,7470.55
2021-12-31,7621.77
2022-01-31,4982.92
2022-02-28,5034.8
2022-03-31,5627.5
2022-04-30,7697.86
2022-05-31,7397.219999999999
2022-06-30,6723.42
2022-07-31,9961.86
2022-08-31,11849.07
2022-09-30,8602.43
2022-10-31,12498.08
2022-11-30,6518.78
2022-12-31,10030.37
2023-01-31,10857.619999999999
2023-02-28,5595.040000000001
2023-03-31,2680.5899999999997
2023-04-30,3054.1099999999997
2023-05-31,6038.67
2023-06-30,7266.09
2023-07-31,11815.56
2023-08-31,7551.33
2023-09-30,8762.63
2023-10-31,6166.889999999999
2023-11-30,5817.58
2023-12-31,4533.02
2024-01-31,4017.0
2024-02-29,1986.48
2024-03-31,1229.96
2024-04-30,1738.27
2024-05-31,5105.4
2024-06-30,7981.639999999999
2024-07-31,13620.63
2024-08-31,7298.61
2024-09-30,14014.72
2024-10-31,10884.85
2024-11-30,7058.74
2024-12-31,9763.75
2025-01-31,7673.37
2025-02-28,6747.620000000001
2025-03-31,5450.509999999999
2025-04-30,3032.56
2025-05-31,6787.1
2025-06-30,10107.890000000001
2025-07-31,13674.1
2025-08-31,11260.15
2025-09-30,13090.51
2025-10-31,8823.539999999999
2025-11-30,10470.91
2025-12-31,7984.280000000001
2026-01-31,7474.63
2026-02-28,-161606.85
2026-03-31,-83916.0
