date;precip_indonesia
1/31/2018;256.564151
2/28/2018;270.4785867
3/31/2018;294.7883209
4/30/2018;235.6148525
5/31/2018;234.2839583
6/30/2018;176.6340688
7/31/2018;143.7420549
8/31/2018;118.8438373
9/30/2018;139.8052721
10/31/2018;214.14033
11/30/2018;280.4645081
12/31/2018;293.3069374
1/31/2019;285.7590514
2/28/2019;240.5937813
3/31/2019;269.199553
4/30/2019;279.9733731
5/31/2019;176.057525
6/30/2019;223.9241717
7/31/2019;118.5772484
8/31/2019;105.5804583
9/30/2019;94.45921488
10/31/2019;197.6641294
11/30/2019;147.214309
12/31/2019;271.1387937
1/31/2020;265.857024
2/29/2020;251.2097733
3/31/2020;362.7731989
4/30/2020;312.3465817
5/31/2020;267.7021692
6/30/2020;255.6573166
7/31/2020;240.1408614
8/31/2020;171.2821871
9/30/2020;225.5797943
10/31/2020;260.1304677
11/30/2020;292.0396535
12/31/2020;286.6689532
1/31/2021;332.4876926
2/28/2021;234.7230785
3/31/2021;306.2312933
4/30/2021;249.8241551
5/31/2021;250.2519415
6/30/2021;201.463032
7/31/2021;210.937586
8/31/2021;273.5301846
9/30/2021;282.1299361
10/31/2021;236.5095191
11/30/2021;311.1839801
12/31/2021;315.0379418
1/31/2022;264.1232273
2/28/2022;276.0135349
3/31/2022;277.7128725
4/30/2022;233.3315455
5/31/2022;227.5986117
6/30/2022;267.811003
7/31/2022;260.3580801
8/31/2022;244.5702824
9/30/2022;248.8651869
10/31/2022;300.2493392
11/30/2022;278.569326
12/31/2022;286.0579665
1/31/2023;237.6038303
2/28/2023;241.7083477
3/31/2023;297.2832513
4/30/2023;238.3928254
5/31/2023;225.6189016
6/30/2023;185.1385512
7/31/2023;183.3598705
8/31/2023;137.1237817
9/30/2023;153.1211803
10/31/2023;160.6130596
11/30/2023;221.3406416
12/31/2023;288.7116251
1/31/2024;282.6439249
2/29/2024;263.5486075
3/31/2024;310.8191869
4/30/2024;285.6161335
5/31/2024;283.9491741
6/30/2024;260.9252079
7/31/2024;171.475977
8/31/2024;201.8716586
9/30/2024;184.5530262
10/31/2024;216.5509532
11/30/2024;275.0272574
12/31/2024;321.7556317
1/31/2025;364.9449312
2/28/2025;219.4895572
3/31/2025;323.6760836
4/30/2025;278.8524733
5/31/2025;258.7894418
6/30/2025;244.2846218
7/31/2025;182.3840883
8/31/2025;248.1424254
9/30/2025;233.7872662
10/31/2025;272.9291888
11/30/2025;320.1288474
12/31/2025;331.2562459
