date;solar_ethiopia
1/31/2018;193.3922044
2/28/2018;178.9480386
3/31/2018;198.138366
4/30/2018;177.8079977
5/31/2018;187.174356
6/30/2018;157.0202832
7/31/2018;154.3918975
8/31/2018;165.6930467
9/30/2018;184.0789834
10/31/2018;178.9521876
11/30/2018;169.8700191
12/31/2018;181.2653251
1/31/2019;200.7104093
2/28/2019;181.5376564
3/31/2019;212.3048557
4/30/2019;193.2498138
5/31/2019;189.1052653
6/30/2019;161.461833
7/31/2019;158.5688416
8/31/2019;164.7115858
9/30/2019;167.6859435
10/31/2019;177.1555331
11/30/2019;161.6966509
12/31/2019;176.5799869
1/31/2020;181.1582942
2/29/2020;185.514085
3/31/2020;197.4762887
4/30/2020;183.9495898
5/31/2020;190.0086105
6/30/2020;169.4816029
7/31/2020;141.8294466
8/31/2020;153.4453145
9/30/2020;169.4293722
10/31/2020;181.4563221
11/30/2020;181.1896104
12/31/2020;188.0011461
1/31/2021;196.4424631
2/28/2021;179.0679813
3/31/2021;217.5779945
4/30/2021;187.6161546
5/31/2021;185.7555067
6/30/2021;173.5804368
7/31/2021;132.1093716
8/31/2021;172.5766119
9/30/2021;165.8012976
10/31/2021;181.2533514
11/30/2021;177.2865198
12/31/2021;185.8672323
1/31/2022;184.5435181
2/28/2022;181.1968269
3/31/2022;212.2019117
4/30/2022;189.080163
5/31/2022;196.1201018
6/30/2022;165.1676201
7/31/2022;141.9170862
8/31/2022;153.4971288
9/30/2022;169.2812216
10/31/2022;172.9114759
11/30/2022;176.1879608
12/31/2022;176.5372328
1/31/2023;193.6944394
2/28/2023;191.7010459
3/31/2023;183.4609365
4/30/2023;182.9726503
5/31/2023;188.013301
6/30/2023;166.9384786
7/31/2023;157.6442807
8/31/2023;173.1972771
9/30/2023;169.8979181
10/31/2023;173.8215476
11/30/2023;162.0397714
12/31/2023;181.8034747
1/31/2024;183.1078362
2/29/2024;179.5432694
3/31/2024;200.4679129
4/30/2024;179.2480966
5/31/2024;190.2772397
6/30/2024;170.2325853
7/31/2024;148.7255849
8/31/2024;144.4690462
9/30/2024;174.9991059
10/31/2024;166.6426671
11/30/2024;171.4936153
12/31/2024;193.0517955
1/31/2025;193.3322314
2/28/2025;188.113829
3/31/2025;195.2347005
4/30/2025;188.5664478
5/31/2025;187.8820915
6/30/2025;175.5322483
7/31/2025;152.270534
8/31/2025;143.9952724
9/30/2025;170.4580485
10/31/2025;169.7697163
11/30/2025;181.3896729
12/31/2025;173.8625229
