date;solar_ghana
1/31/2018;157.4463973
2/28/2018;146.9351948
3/31/2018;175.2233986
4/30/2018;163.874219
5/31/2018;162.9898496
6/30/2018;144.3749464
7/31/2018;137.9736835
8/31/2018;142.2071379
9/30/2018;138.0629229
10/31/2018;156.1843975
11/30/2018;160.5384832
12/31/2018;155.4167441
1/31/2019;165.3484852
2/28/2019;149.5447492
3/31/2019;175.6581243
4/30/2019;171.5947348
5/31/2019;169.4609028
6/30/2019;144.0825947
7/31/2019;134.4816479
8/31/2019;140.0662546
9/30/2019;130.0141803
10/31/2019;147.4671671
11/30/2019;168.2641833
12/31/2019;165.1401326
1/31/2020;159.3294283
2/29/2020;154.1754526
3/31/2020;167.29961
4/30/2020;166.4118656
5/31/2020;174.5505902
6/30/2020;141.5541914
7/31/2020;132.3608736
8/31/2020;145.418109
9/30/2020;128.438527
10/31/2020;160.485513
11/30/2020;161.0534816
12/31/2020;160.2765631
1/31/2021;163.5067045
2/28/2021;148.1597807
3/31/2021;161.7629949
4/30/2021;173.8920268
5/31/2021;173.969045
6/30/2021;148.4949609
7/31/2021;141.2858967
8/31/2021;132.6986241
9/30/2021;139.4475258
10/31/2021;166.1712024
11/30/2021;164.8208897
12/31/2021;156.1343825
1/31/2022;166.0794863
2/28/2022;149.7654312
3/31/2022;162.295149
4/30/2022;158.2427111
5/31/2022;165.197264
6/30/2022;144.3945566
7/31/2022;138.9656367
8/31/2022;129.8859364
9/30/2022;123.8916358
10/31/2022;163.784056
11/30/2022;161.6483517
12/31/2022;159.7573701
1/31/2023;160.9941506
2/28/2023;143.5621575
3/31/2023;173.224917
4/30/2023;166.246199
5/31/2023;169.3371815
6/30/2023;135.8584054
7/31/2023;136.8404567
8/31/2023;124.1163015
9/30/2023;138.6985604
10/31/2023;156.3288131
11/30/2023;155.8427354
12/31/2023;169.7087691
1/31/2024;168.4535264
2/29/2024;154.9024011
3/31/2024;172.1757217
4/30/2024;170.9356451
5/31/2024;164.7474072
6/30/2024;141.2028197
7/31/2024;127.8889067
8/31/2024;117.751886
9/30/2024;134.1745618
10/31/2024;152.2241045
11/30/2024;168.6446743
12/31/2024;162.785701
1/31/2025;163.3280239
2/28/2025;144.1401731
3/31/2025;170.1722029
4/30/2025;164.4071336
5/31/2025;164.6920763
6/30/2025;152.1393816
7/31/2025;129.0316153
8/31/2025;121.3170705
9/30/2025;128.6976202
10/31/2025;162.7350669
11/30/2025;158.1845503
12/31/2025;161.4685049
