date;solar_honduras
1/31/2018;132.9202337
2/28/2018;150.4016193
3/31/2018;199.4005136
4/30/2018;168.966712
5/31/2018;171.8856683
6/30/2018;154.9884319
7/31/2018;176.7373359
8/31/2018;166.435693
9/30/2018;160.7014155
10/31/2018;139.2572126
11/30/2018;146.6430073
12/31/2018;144.0639693
1/31/2019;149.1693206
2/28/2019;153.3415406
3/31/2019;195.6874464
4/30/2019;168.7828572
5/31/2019;152.9102591
6/30/2019;167.5339253
7/31/2019;182.6343585
8/31/2019;183.1212049
9/30/2019;171.7489371
10/31/2019;155.6311893
11/30/2019;141.5135318
12/31/2019;144.4091231
1/31/2020;147.5673087
2/29/2020;160.8990394
3/31/2020;190.7212456
4/30/2020;185.7939904
5/31/2020;154.2660567
6/30/2020;152.0748658
7/31/2020;173.1155944
8/31/2020;165.0445402
9/30/2020;167.3420016
10/31/2020;147.7843835
11/30/2020;115.9108557
12/31/2020;139.3921242
1/31/2021;144.10096
2/28/2021;157.6215213
3/31/2021;185.5153037
4/30/2021;171.8729655
5/31/2021;178.1176123
6/30/2021;158.7783916
7/31/2021;174.9145541
8/31/2021;169.1971602
9/30/2021;164.9824996
10/31/2021;164.7379506
11/30/2021;135.7371216
12/31/2021;139.7410688
1/31/2022;152.2951558
2/28/2022;146.3427846
3/31/2022;178.5137523
4/30/2022;168.1248494
5/31/2022;162.2665691
6/30/2022;139.1093037
7/31/2022;156.5299708
8/31/2022;155.8657274
9/30/2022;150.6807397
10/31/2022;150.2159938
11/30/2022;132.3583445
12/31/2022;139.4510039
1/31/2023;151.2185547
2/28/2023;153.1014214
3/31/2023;180.0704557
4/30/2023;179.5727984
5/31/2023;171.9240548
6/30/2023;157.3229004
7/31/2023;155.733585
8/31/2023;168.0285623
9/30/2023;173.8899201
10/31/2023;147.7957524
11/30/2023;127.8794608
12/31/2023;135.8736429
1/31/2024;149.4877038
2/29/2024;169.9130989
3/31/2024;186.1596374
4/30/2024;167.2890783
5/31/2024;165.9180789
6/30/2024;136.0433143
7/31/2024;150.4039303
8/31/2024;170.0340925
9/30/2024;153.6599343
10/31/2024;143.0236169
11/30/2024;126.8904026
12/31/2024;114.9528899
1/31/2025;140.6825021
2/28/2025;135.9026292
3/31/2025;185.090784
4/30/2025;178.1892114
5/31/2025;174.7887949
6/30/2025;137.2654271
7/31/2025;168.5737033
8/31/2025;173.6141502
9/30/2025;160.5147211
10/31/2025;145.7723809
11/30/2025;130.9241268
12/31/2025;122.9863671
