date;solar_india
1/31/2018;135.6321825
2/28/2018;140.7869513
3/31/2018;182.1659378
4/30/2018;190.8920544
5/31/2018;195.2642631
6/30/2018;159.9993651
7/31/2018;127.3578232
8/31/2018;126.2458457
9/30/2018;146.8483984
10/31/2018;158.2028786
11/30/2018;130.3557293
12/31/2018;119.3225105
1/31/2019;131.6920812
2/28/2019;137.0969751
3/31/2019;185.3241882
4/30/2019;196.068148
5/31/2019;206.2190629
6/30/2019;173.177916
7/31/2019;139.4314153
8/31/2019;134.6588569
9/30/2019;126.9979229
10/31/2019;137.7730601
11/30/2019;121.7136855
12/31/2019;108.9452104
1/31/2020;121.7890334
2/29/2020;142.5015169
3/31/2020;175.9599007
4/30/2020;190.2875586
5/31/2020;201.2946128
6/30/2020;157.4522099
7/31/2020;148.7473467
8/31/2020;131.5464462
9/30/2020;140.9962179
10/31/2020;146.343779
11/30/2020;126.3985924
12/31/2020;119.7545424
1/31/2021;119.665898
2/28/2021;144.9082691
3/31/2021;183.1546663
4/30/2021;190.6571019
5/31/2021;180.4685757
6/30/2021;156.80143
7/31/2021;139.0930651
8/31/2021;139.6593071
9/30/2021;132.7851477
10/31/2021;147.8270189
11/30/2021;116.6870594
12/31/2021;113.3293198
1/31/2022;120.1368403
2/28/2022;142.4827425
3/31/2022;184.1097728
4/30/2022;190.7546908
5/31/2022;188.0935548
6/30/2022;163.0939538
7/31/2022;137.48041
8/31/2022;139.2767308
9/30/2022;137.8837592
10/31/2022;146.1656875
11/30/2022;131.0402946
12/31/2022;120.4304703
1/31/2023;126.4994441
2/28/2023;151.444272
3/31/2023;166.976269
4/30/2023;184.6667158
5/31/2023;196.9853349
6/30/2023;167.5506284
7/31/2023;135.3542141
8/31/2023;140.2958312
9/30/2023;137.1505312
10/31/2023;154.5053332
11/30/2023;117.1863539
12/31/2023;112.3177788
1/31/2024;115.5292012
2/29/2024;140.4750141
3/31/2024;178.1162085
4/30/2024;182.1378641
5/31/2024;193.8046613
6/30/2024;159.4614159
7/31/2024;128.5289765
8/31/2024;131.4314199
9/30/2024;136.1405719
10/31/2024;141.5905901
11/30/2024;123.5760299
12/31/2024;112.3403654
