year,month,solar_kwh_m2
2019,1,143.10802844099373
2019,2,139.3590870246752
2019,3,154.71458999939563
2019,4,138.8718467247965
2019,5,148.63329980323533
2019,6,126.192493237412
2019,7,147.14436350598288
2019,8,159.97654517564962
2019,9,173.44510053695146
2019,10,167.03688886557944
2019,11,163.02082844525904
2019,12,145.195117857726
2020,1,148.68065532877682
2020,2,141.73075112315186
2020,3,149.85806972814754
2020,4,138.56309544935635
2020,5,136.0838417055582
2020,6,126.95153379397593
2020,7,133.22903570511824
2020,8,154.65653984525002
2020,9,144.00277825437624
2020,10,152.64688911299334
2020,11,140.10136255694968
2020,12,139.14155062173288
2021,1,132.93138528491858
2021,2,139.91408867852124
2021,3,150.54051153050506
2021,4,151.04629286648148
2021,5,138.73484173981723
2021,6,135.39994585760087
2021,7,139.94026770821216
2021,8,142.59078459280445
2021,9,141.93447146686495
2021,10,161.706312972825
2021,11,136.93418048268757
2021,12,139.39018131214533
2022,1,145.23207888840622
2022,2,132.10141994325352
2022,3,155.55253105241854
2022,4,148.8516344655035
2022,5,140.53343371024673
2022,6,132.43885398099502
2022,7,133.3385337100075
2022,8,144.92730747552392
2022,9,149.8941725107348
2022,10,145.13226388734196
2022,11,138.21063857281396
2022,12,137.96699741690344
2023,1,144.4268220414599
2023,2,130.38984385823335
2023,3,150.0046227018185
2023,4,147.99863031651483
2023,5,145.45659869193688
2023,6,136.3173870675309
2023,7,138.05741701101059
2023,8,156.24622466308696
2023,9,159.48357012872336
2023,10,175.66369394389966
2023,11,152.55088741420792
2023,12,145.445867024121
2024,1,138.44743279210905
2024,2,142.60749871536842
2024,3,149.18085641123469
2024,4,137.41412408798823
2024,5,130.50787722972217
2024,6,126.22331624140094
2024,7,139.71876156383598
2024,8,146.66208872451608
2024,9,161.59817184886313
2024,10,164.19809347415094
2024,11,140.4728166840607
2024,12,130.41969787885705
2025,1,130.16890411367626
2025,2,133.26892164364602
2025,3,142.2745029050863
2025,4,133.61686229464604
2025,5,138.51886430553947
2025,6,130.22623321780392
2025,7,147.16736180499305
2025,8,142.30213970001864
2025,9,148.67091288997403
2025,10,158.1369514866061
2025,11,141.75690406054383
2025,12,137.3549982268049
