date;solar_senegal
1/31/2018;168.2551083
2/28/2018;164.7349899
3/31/2018;204.5018262
4/30/2018;216.301918
5/31/2018;226.4311113
6/30/2018;182.8210897
7/31/2018;180.4796092
8/31/2018;182.9499806
9/30/2018;161.4991445
10/31/2018;174.8560556
11/30/2018;147.6310614
12/31/2018;166.4932699
1/31/2019;164.4916762
2/28/2019;163.6848102
3/31/2019;213.5221219
4/30/2019;218.7215825
5/31/2019;225.4381667
6/30/2019;206.9901047
7/31/2019;192.9567388
8/31/2019;182.0377578
9/30/2019;174.7391734
10/31/2019;179.5413109
11/30/2019;165.9125641
12/31/2019;163.5610827
1/31/2020;157.8160306
2/29/2020;171.0890628
3/31/2020;217.2859921
4/30/2020;210.2589673
5/31/2020;218.2180438
6/30/2020;179.7584158
7/31/2020;182.8285527
8/31/2020;179.6053824
9/30/2020;168.3046126
10/31/2020;187.0642381
11/30/2020;169.5280179
12/31/2020;163.463849
1/31/2021;170.1615804
2/28/2021;157.3168707
3/31/2021;211.3866219
4/30/2021;216.8514143
5/31/2021;207.4965171
6/30/2021;188.0729513
7/31/2021;192.5243103
8/31/2021;178.3685471
9/30/2021;178.7087083
10/31/2021;169.4490486
11/30/2021;159.4025149
12/31/2021;145.3693507
1/31/2022;162.3761795
2/28/2022;170.1833504
3/31/2022;204.9996534
4/30/2022;214.0318298
5/31/2022;212.375788
6/30/2022;185.0800815
7/31/2022;177.4014404
8/31/2022;166.3438915
9/30/2022;168.3621454
10/31/2022;173.4874777
11/30/2022;160.0047306
12/31/2022;162.4057653
1/31/2023;161.7426279
2/28/2023;157.4622611
3/31/2023;213.5945607
4/30/2023;210.0146383
5/31/2023;201.3289385
6/30/2023;197.8632168
7/31/2023;187.8472718
8/31/2023;176.6908926
9/30/2023;172.6502929
10/31/2023;171.8722457
11/30/2023;168.4534528
12/31/2023;160.1082396
1/31/2024;165.3358617
2/29/2024;175.2641176
3/31/2024;204.9190763
4/30/2024;207.7388911
5/31/2024;216.2305435
6/30/2024;192.5467447
7/31/2024;171.1361521
8/31/2024;171.9506761
9/30/2024;153.6339222
10/31/2024;171.5375672
11/30/2024;169.891545
12/31/2024;139.2565209
1/31/2025;172.3554035
2/28/2025;170.3481932
3/31/2025;204.030542
4/30/2025;205.0560592
5/31/2025;195.3076893
6/30/2025;195.4047663
7/31/2025;185.2001062
8/31/2025;170.092438
9/30/2025;165.5282771
10/31/2025;182.7901516
11/30/2025;142.1507918
12/31/2025;156.0021742
