year;month;solar_kwh_m2
2018;1;140.5478432
2018;2;146.6057256
2018;3;170.1957816
2018;4;167.4352777
2018;5;173.1709451
2018;6;145.0987461
2018;7;132.9268122
2018;8;132.5912436
2018;9;151.3312224
2018;10;158.3791179
2018;11;143.7608861
2018;12;136.4927234
2019;1;146.330664
2019;2;158.5758856
2019;3;197.2827946
2019;4;195.4782163
2019;5;171.7742798
2019;6;151.04162
2019;7;145.6800156
2019;8;115.7283165
2019;9;139.9810174
2019;10;160.7808384
2019;11;138.5542175
2019;12;152.451959
2020;1;159.1895736
2020;2;165.9051984
2020;3;194.504255
2020;4;185.114514
2020;5;184.2109356
2020;6;154.843473
2020;7;163.1095684
2020;8;135.36399
2020;9;137.3876631
2020;10;107.2323256
2020;11;138.3522282
2020;12;144.3980733
2021;1;160.2628499
2021;2;164.5147127
2021;3;189.2123267
2021;4;164.6307004
2021;5;179.2726859
2021;6;146.7767972
2021;7;141.111597
2021;8;150.0555784
2021;9;120.911502
2021;10;128.334302
2021;11;129.5959026
2021;12;147.0441994
2022;1;156.9105996
2022;2;138.4168051
2022;3;177.555994
2022;4;179.6724914
2022;5;144.4336128
2022;6;163.3775836
2022;7;144.2615058
2022;8;137.8797056
2022;9;126.3643122
2022;10;140.7641182
2022;11;136.7113674
2022;12;141.7503148
2023;1;152.171932
2023;2;154.1991731
2023;3;199.0825334
2023;4;198.565784
2023;5;185.2607888
2023;6;149.2138019
2023;7;148.2572922
2023;8;143.9737976
2023;9;117.505563
2023;10;137.1839143
2023;11;139.0928065
2023;12;141.7204625
2024;1;147.7206053
2024;2;167.4363839
2024;3;186.9307798
2024;4;202.9826581
2024;5;170.2199427
2024;6;141.7687832
2024;7;119.1181982
2024;8;149.4098038
2024;9;129.9941512
2024;10;148.1192076
2024;11;134.4626041
2024;12;140.9403374
2025;1;166.3150995
2025;2;154.7228043
2025;3;189.3272963
2025;4;177.9206574
2025;5;153.6540606
2025;6;138.6735355
2025;7;127.952767
2025;8;147.5929428
2025;9;128.3270256
2025;10;141.8137564
2025;11;120.2047367
2025;12;144.3453722
