year;month;solar_kwh_m2
2018;1;63.46383565
2018;2;80.75157633
2018;3;122.9581574
2018;4;184.4536856
2018;5;182.3163876
2018;6;216.9068783
2018;7;233.62893
2018;8;213.3828455
2018;9;161.8299901
2018;10;113.1148316
2018;11;70.4182314
2018;12;48.96517561
2019;1;67.31978405
2019;2;91.73359192
2019;3;141.3581167
2019;4;163.6193418
2019;5;213.0704432
2019;6;212.5700844
2019;7;230.4231847
2019;8;207.1344662
2019;9;164.4805291
2019;10;123.5327835
2019;11;86.66336304
2019;12;59.24895783
2020;1;72.3489709
2020;2;91.25279807
2020;3;136.800439
2020;4;172.0769941
2020;5;207.6596681
2020;6;220.3063313
2020;7;234.0507046
2020;8;216.6502873
2020;9;165.4690843
2020;10;127.7625015
2020;11;80.83092208
2020;12;64.93679903
2021;1;73.73567307
2021;2;102.879336
2021;3;139.7142272
2021;4;171.854377
2021;5;220.8962542
2021;6;218.1645619
2021;7;227.7025062
2021;8;206.8805703
2021;9;157.1259172
2021;10;122.2405547
2021;11;79.12091835
2021;12;64.43466798
2022;1;71.87097946
2022;2;92.60291669
2022;3;140.3518256
2022;4;184.7999092
2022;5;206.4497641
2022;6;207.5188596
2022;7;237.5547449
2022;8;206.3067493
2022;9;164.2037795
2022;10;115.2155278
2022;11;79.18022009
2022;12;67.44846474
2023;1;80.83240954
2023;2;100.7668631
2023;3;124.049297
2023;4;160.3823413
2023;5;190.887761
2023;6;203.9843158
2023;7;237.2743031
2023;8;212.8764911
2023;9;163.8288918
2023;10;118.9517167
2023;11;73.80381199
2023;12;62.71235504
2024;1;65.84147523
2024;2;97.05457912
2024;3;142.3621794
2024;4;180.9833596
2024;5;190.9010577
2024;6;231.5219237
2024;7;220.5394653
2024;8;208.3551661
2024;9;152.0631453
2024;10;123.6416098
2024;11;77.94742565
2024;12;60.38196035
2025;1;78.84617906
2025;2;94.72904487
2025;3;151.6591135
2025;4;164.9697857
2025;5;206.6127863
2025;6;234.4141915
2025;7;233.903823
2025;8;213.9599886
2025;9;163.1216347
2025;10;117.974835
2025;11;84.50335315
2025;12;61.88347386
