date;solar_uganda
1/31/2018;185.2133316
2/28/2018;171.3088368
3/31/2018;159.2899403
4/30/2018;146.9172491
5/31/2018;167.00324
6/30/2018;153.4003576
7/31/2018;168.9183755
8/31/2018;163.0435291
9/30/2018;182.7190688
10/31/2018;177.3535413
11/30/2018;172.8822501
12/31/2018;167.2529614
1/31/2019;190.6779014
2/28/2019;178.2218451
3/31/2019;198.421449
4/30/2019;177.4634243
5/31/2019;172.122319
6/30/2019;135.8787058
7/31/2019;152.4874781
8/31/2019;161.9454464
9/30/2019;169.744126
10/31/2019;162.1316774
11/30/2019;158.8461891
12/31/2019;161.5212323
1/31/2020;173.3848956
2/29/2020;173.8453038
3/31/2020;170.2945437
4/30/2020;165.3745953
5/31/2020;172.2642161
6/30/2020;153.0092709
7/31/2020;138.2443008
8/31/2020;161.3413239
9/30/2020;170.030089
10/31/2020;164.5231616
11/30/2020;161.7957507
12/31/2020;179.4063886
1/31/2021;169.4759683
2/28/2021;161.2580958
3/31/2021;187.211022
4/30/2021;168.3818003
5/31/2021;166.6813532
6/30/2021;161.6882856
7/31/2021;147.9680835
8/31/2021;172.8302923
9/30/2021;165.563698
10/31/2021;176.5171314
11/30/2021;165.9610351
12/31/2021;169.7940019
1/31/2022;176.5703817
2/28/2022;157.1413934
3/31/2022;189.2097721
4/30/2022;161.4279238
5/31/2022;167.8792812
6/30/2022;158.6032135
7/31/2022;152.1730571
8/31/2022;153.3995198
9/30/2022;167.789953
10/31/2022;174.713296
11/30/2022;143.488487
12/31/2022;158.923745
1/31/2023;188.4970016
2/28/2023;175.1024422
3/31/2023;158.7870683
4/30/2023;162.5018459
5/31/2023;178.2367883
6/30/2023;147.5347391
7/31/2023;165.8607285
8/31/2023;172.0905916
9/30/2023;166.4079347
10/31/2023;173.3242214
11/30/2023;148.6567311
12/31/2023;162.8101971
1/31/2024;159.8518791
2/29/2024;158.1635976
3/31/2024;192.0013278
4/30/2024;155.2767893
5/31/2024;168.9604908
6/30/2024;159.6401308
7/31/2024;138.7663615
8/31/2024;155.5633175
9/30/2024;172.3210467
10/31/2024;167.8765569
11/30/2024;148.4786855
12/31/2024;171.8076024
1/31/2025;184.0259945
2/28/2025;182.8723302
3/31/2025;171.769934
4/30/2025;166.311146
5/31/2025;166.6042049
6/30/2025;153.8885221
7/31/2025;153.4217661
8/31/2025;146.8531994
9/30/2025;174.5944938
10/31/2025;162.934883
11/30/2025;171.5460088
12/31/2025;170.4434119
