date,value
2019-01-31,3155.49
2019-02-28,3701.09
2019-03-31,2517.61
2019-04-30,3132.0299999999997
2019-05-31,847.8400000000003
2019-06-30,731.8100000000001
2019-07-31,629.4499999999999
2019-08-31,322.83
2019-09-30,794.73
2019-10-31,1103.8600000000001
2019-11-30,2545.87
2019-12-31,3728.8
2020-01-31,3607.64
2020-02-29,5065.219999999999
2020-03-31,2980.54
2020-04-30,3217.19
2020-05-31,567.35
2020-06-30,887.0800000000002
2020-07-31,705.46
2020-08-31,855.06
2020-09-30,865.98
2020-10-31,2176.69
2020-11-30,3588.47
2020-12-31,4970.97
2021-01-31,8807.19
2021-02-28,5558.110000000001
2021-03-31,2887.7400000000002
2021-04-30,1562.64
2021-05-31,1368.9599999999998
2021-06-30,1311.89
2021-07-31,914.17
2021-08-31,1150.69
2021-09-30,1410.97
2021-10-31,2808.35
2021-11-30,3004.9700000000003
2021-12-31,5583.09
2022-01-31,4652.5
2022-02-28,2844.09
2022-03-31,4959.68
2022-04-30,5343.21
2022-05-31,2014.99
2022-06-30,1298.68
2022-07-31,714.19
2022-08-31,974.03
2022-09-30,1316.0800000000002
2022-10-31,1753.95
2022-11-30,4422.21
2022-12-31,4970.33
2023-01-31,3321.43
2023-02-28,6555.49
2023-03-31,3030.04
2023-04-30,1410.9900000000002
2023-05-31,2750.33
2023-06-30,1832.1400000000003
2023-07-31,1031.96
2023-08-31,554.4699999999999
2023-09-30,1886.43
2023-10-31,2874.55
2023-11-30,1844.0099999999998
2023-12-31,5861.54
2024-01-31,4244.2699999999995
2024-02-29,1912.7199999999998
2024-03-31,3328.5099999999998
2024-04-30,2727.7
2024-05-31,507.59000000000003
2024-06-30,1889.2299999999998
2024-07-31,1210.5900000000001
2024-08-31,1068.03
2024-09-30,1403.1100000000001
2024-10-31,1986.6100000000001
2024-11-30,3529.76
2024-12-31,3649.39
2025-01-31,5221.42
2025-02-28,4775.85
2025-03-31,4305.37
2025-04-30,4628.33
2025-05-31,783.26
2025-06-30,1593.51
2025-07-31,1110.6000000000001
2025-08-31,1585.75
2025-09-30,1523.23
2025-10-31,1742.12
2025-11-30,4795.53
2025-12-31,5349.35
2026-01-31,5376.3
2026-02-28,-220532.49
2026-03-31,-111888.0
