entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature
Colombia,COL,2018-01-01,Demand,5.52,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Clean,83.64,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Fossil,16.35,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Gas and Other Fossil,7.99,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,"Hydro, Bioenergy and Other Renewables",83.64,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Renewables,83.64,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Wind and Solar,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Clean,4.5,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Fossil,0.88,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Gas and Other Fossil,0.43,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,"Hydro, Bioenergy and Other Renewables",4.5,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Renewables,4.5,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Wind and Solar,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Bioenergy,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Coal,8.36,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Gas,7.99,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Hydro,83.64,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Other Fossil,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Solar,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Wind,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Bioenergy,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Coal,0.45,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Gas,0.43,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Hydro,4.5,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Other Fossil,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Solar,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Wind,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Total Generation,5.38,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Net Imports,0.14,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Clean,0.11,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Fossil,0.71,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Gas and Other Fossil,0.29,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,"Hydro, Bioenergy and Other Renewables",0.11,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Renewables,0.11,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,Wind and Solar,0.0,4.43505601,4.757663579,85.86734601,23.68196942
Colombia,COL,2018-01-01,CO2 intensity,152.42,4.43505601,4.757663579,85.86734601,23.68196942
